Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Drift-L2,0.9998553450021698,1.0,0.9999276672694395,0.020722627639770508
2,diversidade-Drift-L2,1.0,0.9995659722222222,0.9997829390058606,0.021016597747802734
3,diversidade-Drift-L2,0.9998552193426958,0.9991319444444444,0.9994934510456618,0.021806955337524414
4,diversidade-Drift-L2,1.0,0.9995659722222222,0.9997829390058606,0.02063775062561035
5,diversidade-Drift-L2,1.0,0.9985532407407407,0.9992760967134791,0.02422642707824707
6,diversidade-Drift-L2,0.9997105225068751,0.9992766203703703,0.9994935243470081,0.021306514739990234
7,diversidade-Drift-L2,1.0,0.9997106481481481,0.9998553031399219,0.020920276641845703
8,diversidade-Drift-L2,1.0,0.9986979166666666,0.9993485342019545,0.022328853607177734
9,diversidade-Drift-L2,0.9998552193426958,0.9991319444444444,0.9994934510456618,0.02435755729675293
10,diversidade-Drift-L2,1.0,0.9991319444444444,0.9995657837603126,0.024135589599609375
11,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.024507522583007812
12,diversidade-Drift-L2,1.0,0.9992766203703703,0.9996381793183299,0.024138927459716797
13,diversidade-Drift-L2,1.0,0.9991319444444444,0.9995657837603126,0.024324417114257812
14,diversidade-Drift-L2,1.0,0.9992766203703703,0.9996381793183299,0.02442479133605957
15,diversidade-Drift-L2,0.9998551354483558,0.9985532407407407,0.9992037640246109,0.02424454689025879
16,diversidade-Drift-L2,0.9998552612534376,0.9994212962962963,0.9996382316764344,0.024165868759155273
17,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.024430274963378906
18,diversidade-Drift-L2,1.0,0.9991319444444444,0.9995657837603126,0.02442455291748047
19,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.02449512481689453
20,diversidade-Drift-L2,0.9998551564310545,0.9986979166666666,0.9992762015055009,0.02434253692626953
21,diversidade-Drift-L2,1.0,0.9994212962962963,0.9997105643994211,0.02432703971862793
22,diversidade-Drift-L2,0.9998551564310545,0.9986979166666666,0.9992762015055009,0.024222373962402344
23,diversidade-Drift-L2,0.9998551774076756,0.9988425925925926,0.9993486285011218,0.024518966674804688
24,diversidade-Drift-L2,0.9998552403011002,0.9992766203703703,0.9995658465991317,0.023717164993286133
25,diversidade-Drift-L2,0.9997102708967116,0.9984085648148148,0.9990589938472674,0.021884918212890625
26,diversidade-Drift-L2,1.0,0.9989872685185185,0.9994933777230947,0.02191162109375
27,diversidade-Drift-L2,0.9998551774076756,0.9988425925925926,0.9993486285011218,0.02080249786376953
28,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.022399187088012695
29,diversidade-Drift-L2,1.0,0.9989872685185185,0.9994933777230947,0.021197080612182617
30,diversidade-Drift-L2,1.0,0.9995659722222222,0.9997829390058606,0.020827531814575195
