Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Freezing-L1,0.4998842324612179,0.999537037037037,0.6664608735916037,0.022216081619262695
2,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.021303415298461914
3,diversidade-Freezing-L1,0.4998842324612179,0.999537037037037,0.6664608735916037,0.022307634353637695
4,diversidade-Freezing-L1,0.49971048060220036,0.9988425925925926,0.6661520648398302,0.021231412887573242
5,diversidade-Freezing-L1,0.5001158211721103,0.999537037037037,0.6666666666666667,0.02131485939025879
6,diversidade-Freezing-L1,0.49971048060220036,0.9988425925925926,0.6661520648398302,0.02139759063720703
7,diversidade-Freezing-L1,0.4997684113015285,0.9990740740740741,0.6662550169805496,0.02206563949584961
8,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.021205663681030273
9,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.021367311477661133
10,diversidade-Freezing-L1,0.5001737116386797,0.9997685185185186,0.6667695870320339,0.022490262985229492
11,diversidade-Freezing-L1,0.500057930714865,0.9990740740740741,0.6665122384371863,0.02111077308654785
12,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.02170562744140625
13,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.02098703384399414
14,diversidade-Freezing-L1,0.500057930714865,0.9990740740740741,0.6665122384371863,0.022731304168701172
15,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.021083593368530273
16,diversidade-Freezing-L1,0.5001158211721103,0.999537037037037,0.6666666666666667,0.025444507598876953
17,diversidade-Freezing-L1,0.5001737518823121,0.999537037037037,0.6667181347950282,0.025504112243652344
18,diversidade-Freezing-L1,0.5002315886984715,1.0,0.6668724915097252,0.023655414581298828
19,diversidade-Freezing-L1,0.5001737116386797,0.9997685185185186,0.6667695870320339,0.023769617080688477
20,diversidade-Freezing-L1,0.4997684113015285,0.9990740740740741,0.6662550169805496,0.023637056350708008
21,diversidade-Freezing-L1,0.49994205585815277,0.9986111111111111,0.6663062784771024,0.024245500564575195
22,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.023617982864379883
23,diversidade-Freezing-L1,0.4997684113015285,0.9990740740740741,0.6662550169805496,0.023284435272216797
24,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.024159908294677734
25,diversidade-Freezing-L1,0.5001158211721103,0.999537037037037,0.6666666666666667,0.022580623626708984
26,diversidade-Freezing-L1,0.4998841251448436,0.9986111111111111,0.6662548262548262,0.023808002471923828
27,diversidade-Freezing-L1,0.5,0.9990740740740741,0.6664607782581841,0.024493932723999023
28,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.03655433654785156
29,diversidade-Freezing-L1,0.4999421229308948,0.9997685185185186,0.6665637780692955,0.04782676696777344
30,diversidade-Freezing-L1,0.5002895193977996,1.0,0.6669239675800849,0.028455734252929688
