Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Noise-L1,0.9771299321437548,1.0,0.9884326935299352,0.022126436233520508
2,diversidade-Noise-L1,0.9809463722397477,0.9997427983539094,0.9902553977453665,0.02318263053894043
3,diversidade-Noise-L1,0.9790958317592243,0.9998713991769548,0.9893745625755552,0.02320241928100586
4,diversidade-Noise-L1,0.9765104886320813,0.9997427983539094,0.9879900870559827,0.02296757698059082
5,diversidade-Noise-L1,0.9772412925939897,0.9994855967078189,0.9882382859685931,0.02381420135498047
6,diversidade-Noise-L1,0.9804465749968462,0.9994855967078189,0.9898745462650449,0.02419304847717285
7,diversidade-Noise-L1,0.978351164254248,0.9996141975308642,0.9888683925958908,0.023082494735717773
8,diversidade-Noise-L1,0.9772441538848378,0.9996141975308642,0.9883026064844247,0.023181438446044922
9,diversidade-Noise-L1,0.977741448692153,0.9998713991769548,0.9886826042726348,0.02322697639465332
10,diversidade-Noise-L1,0.9795789739064666,0.9993569958847737,0.9893691514418486,0.023156404495239258
11,diversidade-Noise-L1,0.9800630914826498,0.9988425925925926,0.9893637347939621,0.02290034294128418
12,diversidade-Noise-L1,0.9788493012715599,0.9998713991769548,0.989248679941472,0.02322220802307129
13,diversidade-Noise-L1,0.9794632732770568,0.9997427983539094,0.9894991408387959,0.023004770278930664
14,diversidade-Noise-L1,0.9767383377341884,0.9989711934156379,0.9877296713077754,0.02322673797607422
15,diversidade-Noise-L1,0.9788519637462235,1.0,0.9893129770992367,0.02297067642211914
16,diversidade-Noise-L1,0.9800731491991423,0.9993569958847737,0.9896211397644062,0.023112058639526367
17,diversidade-Noise-L1,0.9783402594131722,0.9990997942386831,0.9886110580899662,0.02334761619567871
18,diversidade-Noise-L1,0.9798310853397202,0.9996141975308642,0.9896237825450378,0.023051023483276367
19,diversidade-Noise-L1,0.9780994336060416,0.9993569958847737,0.9886139558552255,0.02294301986694336
20,diversidade-Noise-L1,0.9778560644187216,0.9994855967078189,0.988552531162554,0.0231170654296875
21,diversidade-Noise-L1,0.9815470171890799,0.9987139917695473,0.9900560938296787,0.024557828903198242
22,diversidade-Noise-L1,0.9765075376884422,0.9996141975308642,0.9879257752923234,0.023914813995361328
23,diversidade-Noise-L1,0.9804465749968462,0.9994855967078189,0.9898745462650449,0.02326178550720215
24,diversidade-Noise-L1,0.9776128788831594,0.9996141975308642,0.9884911299039868,0.0238494873046875
25,diversidade-Noise-L1,0.9778504908129877,0.9992283950617284,0.9884238646482636,0.037081003189086914
26,diversidade-Noise-L1,0.9800605754669359,0.9987139917695473,0.9892993630573249,0.038541555404663086
27,diversidade-Noise-L1,0.9778477029578351,0.9990997942386831,0.9883595191145601,0.03110671043395996
28,diversidade-Noise-L1,0.978228039265039,0.9996141975308642,0.9888054954840351,0.024408340454101562
29,diversidade-Noise-L1,0.9826845298281092,0.9998713991769548,0.9912034676185619,0.02679920196533203
30,diversidade-Noise-L1,0.9798310853397202,0.9996141975308642,0.9896237825450378,0.02465653419494629
