Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Bias-L1,0.9294441782462866,0.9978137860082305,0.9624162738774498,0.0861959457397461
2,isolation-Bias-L1,0.9295470884255931,0.9976851851851852,0.9624116114625977,0.08611512184143066
3,isolation-Bias-L1,0.9282296650717703,0.9979423868312757,0.9618244918195338,0.08374905586242676
4,isolation-Bias-L1,0.9264214046822743,0.9974279835390947,0.9606143175625464,0.08533239364624023
5,isolation-Bias-L1,0.9311420345489443,0.9981995884773662,0.9635054617676266,0.08317065238952637
6,isolation-Bias-L1,0.9295133061615919,0.9971707818930041,0.9621541134135749,0.08304142951965332
7,isolation-Bias-L1,0.9306823642479577,0.9962705761316872,0.962360248447205,0.08010721206665039
8,isolation-Bias-L1,0.9286998202516477,0.996656378600823,0.9614788164505923,0.07996058464050293
9,isolation-Bias-L1,0.9284517827231396,0.9979423868312757,0.9619437213338292,0.081390380859375
10,isolation-Bias-L1,0.933020683020683,0.9978137860082305,0.9643301019139946,0.08337712287902832
11,isolation-Bias-L1,0.9288452323909918,0.9971707818930041,0.9617960803770775,0.08776521682739258
12,isolation-Bias-L1,0.9308606409794743,0.9972993827160493,0.9629353697150307,0.08404850959777832
13,isolation-Bias-L1,0.9293159218881035,0.9975565843621399,0.962227873224586,0.08439278602600098
14,isolation-Bias-L1,0.9292723791287697,0.998585390946502,0.962682866352591,0.08092236518859863
15,isolation-Bias-L1,0.9298813376483279,0.9976851851851852,0.9625907314349526,0.08023858070373535
16,isolation-Bias-L1,0.9311877026540171,0.9971707818930041,0.9630503632863441,0.07991504669189453
17,isolation-Bias-L1,0.928314983245572,0.9975565843621399,0.9616910488470122,0.08410406112670898
18,isolation-Bias-L1,0.9286313016405221,0.9972993827160493,0.9617411793886028,0.08323788642883301
19,isolation-Bias-L1,0.9285628814167763,0.9979423868312757,0.9620033471765945,0.08548998832702637
20,isolation-Bias-L1,0.9281272422865343,0.998070987654321,0.9618292229520387,0.08029413223266602
21,isolation-Bias-L1,0.9286141336840846,0.9987139917695473,0.9623892434475493,0.07816576957702637
22,isolation-Bias-L1,0.9316352276823261,0.9971707818930041,0.9632896453195852,0.07955789566040039
23,isolation-Bias-L1,0.9301236643054388,0.9962705761316872,0.9620614715926731,0.08403325080871582
24,isolation-Bias-L1,0.9291706615532119,0.9970421810699589,0.9619106699751862,0.08386969566345215
25,isolation-Bias-L1,0.9298119535273686,0.9983281893004116,0.9628527131782946,0.08266663551330566
26,isolation-Bias-L1,0.9319220591772913,0.9963991769547325,0.9630826600372904,0.08397555351257324
27,isolation-Bias-L1,0.9256869772998805,0.9963991769547325,0.9597423510466988,0.08331942558288574
28,isolation-Bias-L1,0.9278708133971292,0.9975565843621399,0.9614526524541398,0.0805361270904541
29,isolation-Bias-L1,0.9295402712759573,0.9958847736625515,0.9615695039423854,0.08198261260986328
30,isolation-Bias-L1,0.9302939412117577,0.9971707818930041,0.9625721556700391,0.08091330528259277
