Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Noise-L2,0.8875192604006163,1.0,0.9404081632653062,0.0925300121307373
2,isolation-Noise-L2,0.8851325393776411,1.0,0.9390666394945995,0.0957040786743164
3,isolation-Noise-L2,0.8867222578576011,1.0,0.9399605629972122,0.0930333137512207
4,isolation-Noise-L2,0.8875192604006163,1.0,0.9404081632653062,0.09296798706054688
5,isolation-Noise-L2,0.8832098134423716,1.0,0.937983444157959,0.09306216239929199
6,isolation-Noise-L2,0.8835485108014828,1.0,0.9381744146589752,0.09581923484802246
7,isolation-Noise-L2,0.8879753340184995,1.0,0.9406641262928688,0.09122109413146973
8,isolation-Noise-L2,0.8833226837060703,1.0,0.938047092352582,0.09682059288024902
9,isolation-Noise-L2,0.8884318766066838,1.0,0.9409202286958889,0.09019899368286133
10,isolation-Noise-L2,0.8852459016393442,1.0,0.9391304347826086,0.09119319915771484
11,isolation-Noise-L2,0.8846793805196468,1.0,0.9388115449915111,0.09534287452697754
12,isolation-Noise-L2,0.8837744533947065,1.0,0.9383017715332925,0.09207630157470703
13,isolation-Noise-L2,0.8840005115743701,1.0,0.9384291629896138,0.09061241149902344
14,isolation-Noise-L2,0.8862674701884857,1.0,0.9397049826660323,0.0905313491821289
15,isolation-Noise-L2,0.8849059019331712,1.0,0.938939074916797,0.09039807319641113
16,isolation-Noise-L2,0.8833226837060703,1.0,0.938047092352582,0.09109091758728027
17,isolation-Noise-L2,0.8871775125144398,1.0,0.9402162823913488,0.09547638893127441
18,isolation-Noise-L2,0.8859266854652653,1.0,0.9395133886094875,0.0965430736541748
19,isolation-Noise-L2,0.8864948056944979,1.0,0.9398327554558433,0.09768223762512207
20,isolation-Noise-L2,0.8840005115743701,1.0,0.9384291629896138,0.09667325019836426
21,isolation-Noise-L2,0.884113584036838,1.0,0.9384928716904276,0.09594202041625977
22,isolation-Noise-L2,0.8863811233649653,1.0,0.9397688647178789,0.09116387367248535
23,isolation-Noise-L2,0.8842266854291928,1.0,0.9385565890420259,0.09932684898376465
24,isolation-Noise-L2,0.8864948056944979,1.0,0.9398327554558433,0.0915384292602539
25,isolation-Noise-L2,0.8876332348786439,1.0,0.9404721409619703,0.09467935562133789
26,isolation-Noise-L2,0.8871775125144398,1.0,0.9402162823913488,0.0936439037322998
27,isolation-Noise-L2,0.8863811233649653,1.0,0.9397688647178789,0.1064305305480957
28,isolation-Noise-L2,0.8856996412096361,1.0,0.939385702636586,0.10179328918457031
29,isolation-Noise-L2,0.8878612716763006,1.0,0.9406001224739743,0.0974128246307373
30,isolation-Noise-L2,0.8868360277136259,1.0,0.9400244798041616,0.09096693992614746
