Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Drift-L1,0.9988439306358381,1.0,0.9994216310005783,0.36397790908813477
2,svm-Drift-L1,0.9988412514484357,0.9976851851851852,0.998262883613202,0.35980796813964844
3,svm-Drift-L1,0.9988439306358381,1.0,0.9994216310005783,0.364943265914917
4,svm-Drift-L1,0.9991006038802518,1.0,0.9995500996207982,0.3649861812591553
5,svm-Drift-L1,0.998970928736815,0.9987139917695473,0.9988424437299036,0.36023831367492676
6,svm-Drift-L1,0.9985850270131207,0.9983281893004116,0.9984565916398714,0.3528115749359131
7,svm-Drift-L1,0.9984579799537394,0.832690329218107,0.9080709627655845,0.3647308349609375
8,svm-Drift-L1,0.9988439306358381,1.0,0.9994216310005783,0.36071157455444336
9,svm-Drift-L1,0.9993565821644576,0.9987139917695473,0.9990351836367144,0.3622310161590576
10,svm-Drift-L1,0.9987156434626252,1.0,0.9993574090733839,0.3604886531829834
11,svm-Drift-L1,0.9978160328879754,0.9988425925925926,0.9983290488431877,0.3704659938812256
12,svm-Drift-L1,0.9988439306358381,1.0,0.9994216310005783,0.3781716823577881
13,svm-Drift-L1,0.9979437090348284,0.998585390946502,0.9982644468727903,0.36515307426452637
14,svm-Drift-L1,0.998712667353244,0.9976851851851852,0.9981986618630984,0.3740959167480469
15,svm-Drift-L1,0.9983286191823091,0.998585390946502,0.9984569885559985,0.37203288078308105
16,svm-Drift-L1,0.9982028241335045,1.0,0.9991006038802518,0.36674976348876953
17,svm-Drift-L1,0.9980719794344473,0.998585390946502,0.998328619182309,0.37464213371276855
18,svm-Drift-L1,0.9984591679506933,1.0,0.9992289899768697,0.36030101776123047
19,svm-Drift-L1,0.998586118251928,0.9990997942386831,0.998842890203137,0.3637540340423584
20,svm-Drift-L1,0.9992289899768697,1.0,0.9996143463170073,0.36409950256347656
21,svm-Drift-L1,0.9993574090733839,1.0,0.999678601272739,0.3722565174102783
22,svm-Drift-L1,0.9984591679506933,1.0,0.9992289899768697,0.374497652053833
23,svm-Drift-L1,0.9992276004119465,0.9981995884773662,0.9987133299022132,0.3588378429412842
24,svm-Drift-L1,0.9981975022531222,0.9970421810699589,0.9976195071736473,0.36167454719543457
25,svm-Drift-L1,0.9988419969119917,0.9983281893004116,0.9985850270131206,0.3677542209625244
26,svm-Drift-L1,0.998968540484786,0.9963991769547325,0.9976822044810714,0.3862924575805664
27,svm-Drift-L1,0.997942651407998,0.998070987654321,0.9980068154053879,0.3621485233306885
28,svm-Drift-L1,0.9988425925925926,0.9988425925925926,0.9988425925925926,0.3634147644042969
29,svm-Drift-L1,0.9984555984555985,0.9976851851851852,0.9980702431493631,0.3709228038787842
30,svm-Drift-L1,0.9989693377995362,0.9971707818930041,0.9980692495816708,0.37021589279174805
