Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-isolation-Bias-L1-.csv, /home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-diversidade-Bias-L1-.csv, Distribuições Diferentes, 4.815997327286241e-88
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-isolation-Bias-L1-.csv, /home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-diversidade-Noise-L1-.csv, Distribuições Diferentes, 2.1695402869317042e-72
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-isolation-Freezing-L2-.csv, /home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-svm-Freezing-L2-.csv, Distribuições Diferentes, 2.5770975113653485e-75
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-isolation-Bias-L2-.csv, /home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-diversidade-Bias-L2-.csv, Distribuições Diferentes, 2.4262456464872905e-93
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-svm-Freezing-L2-.csv, /home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-diversidade-Freezing-L2-.csv, Distribuições Diferentes, 4.47657301064249e-16
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-isolation-Noise-L2-.csv, /home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-diversidade-Noise-L2-.csv, Distribuições Diferentes, 3.0710780953257143e-73
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-isolation-Noise-L1-.csv, /home/kathiani/PycharmProjects/Algoritmos-Validacao/src/resultados-series normais/resumo/F1-Measure-diversidade-Noise-L1-.csv, Distribuições Diferentes, 1.8008290354500172e-51
