Dado,Label,Predição,Avaliação
42,correto,P-correto,VP
43,incorreto,P-correto,FN
42,correto,P-correto,VP
67,incorreto,P-correto,FN
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
43,correto,P-correto,VP
41,correto,P-correto,VP
41,correto,P-correto,VP
43,correto,P-correto,VP
43,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
117,incorreto,P-correto,FN
42,correto,P-correto,VP
175,incorreto,P-correto,FN
42,correto,P-correto,VP
42,correto,P-correto,VP
-127,incorreto,P-incorreto,VN
331,incorreto,P-correto,FN
409,incorreto,P-incorreto,VN
42,correto,P-correto,VP
42,correto,P-correto,VP
-96,incorreto,P-incorreto,VN
43,correto,P-correto,VP
43,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
-337,incorreto,P-incorreto,VN
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
41,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
-518,incorreto,P-incorreto,VN
42,correto,P-correto,VP
42,correto,P-correto,VP
826,incorreto,P-incorreto,VN
41,correto,P-correto,VP
42,correto,P-correto,VP
-558,incorreto,P-incorreto,VN
41,correto,P-correto,VP
42,correto,P-correto,VP
1266,incorreto,P-incorreto,VN
42,correto,P-correto,VP
-664,incorreto,P-correto,FN
42,correto,P-correto,VP
43,correto,P-correto,VP
703,incorreto,P-incorreto,VN
43,correto,P-correto,VP
42,correto,P-correto,VP
191,incorreto,P-correto,FN
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
-330,incorreto,P-incorreto,VN
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
1174,incorreto,P-correto,FN
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
-164,incorreto,P-incorreto,VN
42,correto,P-correto,VP
44,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
-1720,incorreto,P-correto,FN
42,correto,P-correto,VP
1492,incorreto,P-incorreto,VN
42,correto,P-correto,VP
-413,incorreto,P-incorreto,VN
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
-162,incorreto,P-incorreto,VN
42,correto,P-correto,VP
42,correto,P-correto,VP
-982,incorreto,P-correto,FN
42,correto,P-correto,VP
2488,incorreto,P-correto,FN
42,correto,P-correto,VP
42,correto,P-correto,VP
593,incorreto,P-incorreto,VN
42,correto,P-correto,VP
42,correto,P-correto,VP
251,incorreto,P-incorreto,VN
42,correto,P-correto,VP
-449,incorreto,P-correto,FN
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
611,incorreto,P-correto,FN
-968,incorreto,P-incorreto,VN
-357,incorreto,P-correto,FN
42,correto,P-correto,VP
398,incorreto,P-correto,FN
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
43,correto,P-correto,VP
-725,incorreto,P-correto,FN
-437,incorreto,P-incorreto,VN
42,correto,P-correto,VP
43,correto,P-correto,VP
2994,incorreto,P-incorreto,VN
43,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
-2067,incorreto,P-correto,FN
-907,incorreto,P-correto,FN
42,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
2194,incorreto,P-incorreto,VN
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
254,incorreto,P-incorreto,VN
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
-4299,incorreto,P-correto,FN
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
-1672,incorreto,P-correto,FN
42,correto,P-correto,VP
-594,incorreto,P-correto,FN
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
41,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
-1946,incorreto,P-incorreto,VN
42,correto,P-correto,VP
1833,incorreto,P-incorreto,VN
4255,incorreto,P-incorreto,VN
42,correto,P-correto,VP
1823,incorreto,P-correto,FN
42,correto,P-correto,VP
1666,incorreto,P-correto,FN
2639,incorreto,P-correto,FN
43,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
41,correto,P-correto,VP
41,correto,P-correto,VP
41,correto,P-correto,VP
-3986,incorreto,P-incorreto,VN
42,correto,P-correto,VP
41,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
300,incorreto,P-correto,FN
-3016,incorreto,P-incorreto,VN
43,correto,P-correto,VP
42,correto,P-correto,VP
2083,incorreto,P-correto,FN
-4088,incorreto,P-incorreto,VN
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
84,incorreto,P-correto,FN
42,correto,P-correto,VP
41,correto,P-correto,VP
604,incorreto,P-incorreto,VN
-4505,incorreto,P-incorreto,VN
505,incorreto,P-incorreto,VN
42,correto,P-correto,VP
1436,incorreto,P-correto,FN
41,correto,P-correto,VP
716,incorreto,P-correto,FN
-614,incorreto,P-correto,FN
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
