Dado,Label,Predição,Avaliação
41,correto,P-correto,VP
47,incorreto,P-incorreto,VN
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
43,correto,P-correto,VP
32,incorreto,P-correto,FN
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
43,correto,P-correto,VP
42,correto,P-incorreto,FP
43,correto,P-correto,VP
44,incorreto,P-incorreto,VN
42,correto,P-incorreto,FP
33,incorreto,P-incorreto,VN
49,incorreto,P-incorreto,VN
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
41,correto,P-correto,VP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
43,correto,P-correto,VP
43,correto,P-correto,VP
41,correto,P-correto,VP
31,incorreto,P-correto,FN
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
54,incorreto,P-incorreto,VN
42,correto,P-incorreto,FP
41,correto,P-correto,VP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
43,correto,P-correto,VP
41,correto,P-correto,VP
54,incorreto,P-incorreto,VN
41,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-incorreto,FP
27,incorreto,P-incorreto,VN
41,correto,P-correto,VP
44,incorreto,P-incorreto,VN
42,correto,P-incorreto,FP
44,incorreto,P-incorreto,VN
59,incorreto,P-incorreto,VN
41,incorreto,P-correto,FN
41,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-incorreto,FP
36,incorreto,P-incorreto,VN
53,incorreto,P-incorreto,VN
42,correto,P-incorreto,FP
35,incorreto,P-correto,FN
61,incorreto,P-incorreto,VN
37,incorreto,P-incorreto,VN
32,incorreto,P-correto,FN
42,correto,P-incorreto,FP
28,incorreto,P-correto,FN
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
50,incorreto,P-correto,FN
42,correto,P-incorreto,FP
41,incorreto,P-correto,FN
42,correto,P-incorreto,FP
41,correto,P-correto,VP
27,incorreto,P-incorreto,VN
39,incorreto,P-incorreto,VN
45,incorreto,P-incorreto,VN
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
56,incorreto,P-correto,FN
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
43,correto,P-correto,VP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
43,incorreto,P-correto,FN
42,correto,P-incorreto,FP
43,correto,P-correto,VP
42,correto,P-incorreto,FP
50,incorreto,P-correto,FN
42,correto,P-incorreto,FP
34,incorreto,P-correto,FN
42,correto,P-incorreto,FP
32,incorreto,P-correto,FN
45,incorreto,P-incorreto,VN
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
41,correto,P-correto,VP
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
49,incorreto,P-incorreto,VN
42,correto,P-incorreto,FP
42,correto,P-incorreto,FP
40,incorreto,P-correto,FN
43,correto,P-correto,VP
