Dado,Label,Predição,Avaliação,Label_Cod,Predicao_Cod,Precisao,Recall,F-Measure
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
43,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
43,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
43,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
166,incorreto,P-incorreto,VN,0,0,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
43,correto,P-incorreto,FP,1,0,1.0,0.8982767489711934,0.946412844658221
42,correto,P-incorreto,FP,1,0,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
202,incorreto,P-incorreto,VN,0,0,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
423,incorreto,P-incorreto,VN,0,0,1.0,0.8982767489711934,0.946412844658221
43,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-incorreto,FP,1,0,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
41,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
43,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
41,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
251,incorreto,P-incorreto,VN,0,0,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
43,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
43,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-incorreto,FP,1,0,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
78,incorreto,P-incorreto,VN,0,0,1.0,0.8982767489711934,0.946412844658221
42,correto,P-correto,VP,1,1,1.0,0.8982767489711934,0.946412844658221
