Dado,Label,Predição,Avaliação
22.0,correto,P-correto,VP
15.383378969298034,incorreto,P-incorreto,VN
21.99629458082445,correto,P-correto,VP
21.994441871236685,correto,P-correto,VP
31.85138058398902,incorreto,P-incorreto,VN
28.932265290142062,incorreto,P-incorreto,VN
21.98888374247337,correto,P-correto,VP
21.9870310328856,correto,P-correto,VP
21.985178323297824,correto,P-correto,VP
21.98332561371005,correto,P-correto,VP
21.98147290412228,correto,P-correto,VP
21.979620194534508,correto,P-correto,VP
21.97776748494673,correto,P-correto,VP
114.64632758750332,incorreto,P-incorreto,VN
289.5450347560618,incorreto,P-incorreto,VN
21.97220935618342,correto,P-correto,VP
-112.1098698256666,incorreto,P-incorreto,VN
21.968503937007878,correto,P-correto,VP
21.9666512274201,correto,P-correto,VP
21.964798517832328,correto,P-correto,VP
76.80579117780363,incorreto,P-incorreto,VN
21.961093098656782,correto,P-correto,VP
126.75754278199044,incorreto,P-incorreto,VN
21.95738767948124,correto,P-correto,VP
21.95553496989347,correto,P-correto,VP
21.953682260305698,correto,P-correto,VP
21.951829550717925,correto,P-correto,VP
21.94997684113015,correto,P-correto,VP
21.948124131542382,correto,P-correto,VP
21.94627142195461,correto,P-correto,VP
21.94441871236684,correto,P-correto,VP
21.942566002779063,correto,P-correto,VP
-335.330617700203,incorreto,P-incorreto,VN
21.93886058360352,correto,P-correto,VP
21.937007874015748,correto,P-correto,VP
21.93515516442797,correto,P-correto,VP
21.9333024548402,correto,P-correto,VP
21.931449745252436,correto,P-correto,VP
21.92959703566466,correto,P-correto,VP
21.927744326076887,correto,P-correto,VP
21.925891616489118,correto,P-correto,VP
21.924038906901345,correto,P-correto,VP
21.92218619731357,correto,P-correto,VP
21.9203334877258,correto,P-correto,VP
21.918480778138026,correto,P-correto,VP
21.916628068550256,correto,P-correto,VP
21.914775358962483,correto,P-correto,VP
21.91292264937471,correto,P-correto,VP
21.911069939786938,correto,P-correto,VP
21.909217230199165,correto,P-correto,VP
-83.69795833113096,incorreto,P-incorreto,VN
21.905511811023626,correto,P-correto,VP
21.90365910143585,correto,P-correto,VP
21.90180639184808,correto,P-correto,VP
21.899953682260307,correto,P-correto,VP
21.89810097267253,correto,P-correto,VP
-856.9833929582855,incorreto,P-incorreto,VN
21.894395553496988,correto,P-correto,VP
21.89254284390922,correto,P-correto,VP
21.89069013432145,correto,P-correto,VP
311.20101489818,incorreto,P-incorreto,VN
92.16516399269986,incorreto,P-incorreto,VN
21.88513200555813,correto,P-correto,VP
21.88327929597036,correto,P-correto,VP
21.881426586382585,correto,P-correto,VP
