Dado,Label,Predição,Avaliação
22.0,correto,P-correto,VP
21.998147290412227,correto,P-correto,VP
21.49629458082445,incorreto,P-correto,FN
22.494441871236685,incorreto,P-correto,FN
21.49258916164891,incorreto,P-correto,FN
21.99073645206114,correto,P-correto,VP
21.98888374247337,correto,P-correto,VP
21.9870310328856,correto,P-correto,VP
22.485178323297824,incorreto,P-correto,FN
21.98332561371005,correto,P-correto,VP
21.98147290412228,correto,P-correto,VP
21.979620194534508,correto,P-correto,VP
21.47776748494673,incorreto,P-correto,FN
21.47591477535896,incorreto,P-correto,FN
21.47406206577119,incorreto,P-correto,FN
21.47220935618342,incorreto,P-correto,FN
21.970356646595647,correto,P-correto,VP
21.468503937007878,incorreto,P-correto,FN
21.9666512274201,correto,P-correto,VP
21.964798517832328,correto,P-correto,VP
21.96294580824456,correto,P-correto,VP
22.461093098656782,incorreto,P-correto,FN
21.459240389069013,incorreto,P-correto,FN
21.95738767948124,correto,P-correto,VP
21.95553496989347,correto,P-correto,VP
21.953682260305698,correto,P-correto,VP
21.951829550717925,correto,P-correto,VP
22.44997684113015,incorreto,P-correto,FN
21.948124131542382,correto,P-correto,VP
21.94627142195461,correto,P-correto,VP
21.94441871236684,correto,P-correto,VP
21.942566002779063,correto,P-correto,VP
21.94071329319129,correto,P-correto,VP
21.43886058360352,incorreto,P-correto,FN
22.437007874015748,incorreto,P-correto,FN
21.43515516442797,incorreto,P-correto,FN
22.4333024548402,incorreto,P-correto,FN
22.431449745252436,incorreto,P-correto,FN
22.42959703566466,incorreto,P-correto,FN
22.427744326076887,incorreto,P-correto,FN
21.925891616489118,correto,P-correto,VP
21.424038906901345,incorreto,P-correto,FN
21.92218619731357,correto,P-correto,VP
21.4203334877258,incorreto,P-correto,FN
21.918480778138026,correto,P-correto,VP
21.416628068550256,incorreto,P-correto,FN
21.414775358962483,incorreto,P-correto,FN
21.91292264937471,correto,P-correto,VP
21.911069939786938,correto,P-correto,VP
22.409217230199165,incorreto,P-correto,FN
21.907364520611395,correto,P-correto,VP
21.905511811023626,correto,P-correto,VP
21.90365910143585,correto,P-correto,VP
21.90180639184808,correto,P-correto,VP
22.399953682260307,incorreto,P-correto,FN
21.89810097267253,correto,P-correto,VP
22.39624826308476,incorreto,P-correto,FN
21.894395553496988,correto,P-correto,VP
21.89254284390922,correto,P-correto,VP
21.39069013432145,incorreto,P-correto,FN
21.888837424733676,correto,P-correto,VP
21.8869847151459,correto,P-correto,VP
22.38513200555813,incorreto,P-correto,FN
21.38327929597036,incorreto,P-correto,FN
21.381426586382585,incorreto,P-correto,FN
21.87957387679481,correto,P-correto,VP
21.87772116720704,correto,P-correto,VP
21.37586845761927,incorreto,P-correto,FN
21.874015748031496,correto,P-correto,VP
21.872163038443723,correto,P-correto,VP
21.87031032885595,correto,P-correto,VP
22.36845761926818,incorreto,P-correto,FN
21.366604909680408,incorreto,P-correto,FN
21.364752200092635,incorreto,P-correto,FN
21.862899490504866,correto,P-correto,VP
21.861046780917093,correto,P-correto,VP
21.35919407132932,incorreto,P-correto,FN
21.857341361741547,correto,P-correto,VP
21.85548865215377,correto,P-correto,VP
21.853635942566005,correto,P-correto,VP
21.85178323297823,correto,P-correto,VP
21.84993052339046,correto,P-correto,VP
21.34807781380269,incorreto,P-correto,FN
21.846225104214916,correto,P-correto,VP
22.344372394627143,incorreto,P-correto,FN
21.34251968503937,incorreto,P-correto,FN
21.8406669754516,correto,P-correto,VP
22.338814265863824,incorreto,P-correto,FN
21.83696155627605,correto,P-correto,VP
21.83510884668828,correto,P-correto,VP
22.33325613710051,incorreto,P-correto,FN
21.831403427512736,correto,P-correto,VP
21.329550717924967,incorreto,P-correto,FN
21.827698008337197,correto,P-correto,VP
21.82584529874942,correto,P-correto,VP
21.823992589161648,correto,P-correto,VP
21.322139879573875,incorreto,P-correto,FN
22.320287169986106,incorreto,P-correto,FN
21.818434460398333,correto,P-correto,VP
21.81658175081056,correto,P-correto,VP
21.814729041222787,correto,P-correto,VP
21.812876331635017,correto,P-correto,VP
21.811023622047244,correto,P-correto,VP
21.80917091245947,correto,P-correto,VP
21.3073182028717,incorreto,P-correto,FN
22.30546549328393,incorreto,P-correto,FN
21.80361278369616,correto,P-correto,VP
21.801760074108383,correto,P-correto,VP
22.29990736452061,incorreto,P-correto,FN
21.79805465493284,correto,P-correto,VP
22.296201945345068,incorreto,P-correto,FN
21.79434923575729,correto,P-correto,VP
21.29249652616952,incorreto,P-correto,FN
22.29064381658175,incorreto,P-correto,FN
21.78879110699398,correto,P-correto,VP
21.786938397406207,correto,P-correto,VP
21.785085687818437,correto,P-correto,VP
21.78323297823066,correto,P-correto,VP
21.78138026864289,correto,P-correto,VP
21.27952755905512,incorreto,P-correto,FN
21.777674849467346,correto,P-correto,VP
21.775822139879573,correto,P-correto,VP
22.273969430291803,incorreto,P-correto,FN
21.77211672070403,correto,P-correto,VP
21.770264011116257,correto,P-correto,VP
22.268411301528484,incorreto,P-correto,FN
21.766558591940715,correto,P-correto,VP
21.264705882352946,incorreto,P-correto,FN
22.26285317276517,incorreto,P-correto,FN
21.2610004631774,incorreto,P-correto,FN
21.759147753589623,correto,P-correto,VP
21.757295044001854,correto,P-correto,VP
21.75544233441408,correto,P-correto,VP
21.753589624826308,correto,P-correto,VP
21.75173691523853,correto,P-correto,VP
21.74988420565077,correto,P-correto,VP
21.748031496062996,correto,P-correto,VP
22.24617878647522,incorreto,P-correto,FN
21.244326076887447,incorreto,P-correto,FN
21.24247336729968,incorreto,P-correto,FN
22.240620657711904,incorreto,P-correto,FN
21.23876794812413,incorreto,P-correto,FN
21.73691523853636,correto,P-correto,VP
22.23506252894859,incorreto,P-correto,FN
21.733209819360816,correto,P-correto,VP
21.731357109773043,correto,P-correto,VP
21.72950440018527,correto,P-correto,VP
21.727651690597497,correto,P-correto,VP
21.225798981009728,incorreto,P-correto,FN
21.223946271421955,incorreto,P-correto,FN
21.722093561834185,correto,P-correto,VP
21.72024085224641,correto,P-correto,VP
21.71838814265864,correto,P-correto,VP
21.716535433070867,correto,P-correto,VP
21.714682723483094,correto,P-correto,VP
21.71283001389532,correto,P-correto,VP
21.71097730430755,correto,P-correto,VP
22.20912459471978,incorreto,P-correto,FN
21.707271885132005,correto,P-correto,VP
21.205419175544236,incorreto,P-correto,FN
21.203566465956463,incorreto,P-correto,FN
21.20171375636869,incorreto,P-correto,FN
21.19986104678092,incorreto,P-correto,FN
21.698008337193144,correto,P-correto,VP
21.69615562760537,correto,P-correto,VP
21.6943029180176,correto,P-correto,VP
21.69245020842983,correto,P-correto,VP
21.690597498842056,correto,P-correto,VP
21.188744789254283,incorreto,P-correto,FN
21.686892079666517,correto,P-correto,VP
21.68503937007874,correto,P-correto,VP
21.183186660490968,incorreto,P-correto,FN
21.681333950903195,correto,P-correto,VP
22.179481241315425,incorreto,P-correto,FN
21.67762853172765,correto,P-correto,VP
21.17577582213988,incorreto,P-correto,FN
21.673923112552107,correto,P-correto,VP
21.672070402964334,correto,P-correto,VP
21.670217693376564,correto,P-correto,VP
21.16836498378879,incorreto,P-correto,FN
21.66651227420102,correto,P-correto,VP
21.664659564613245,correto,P-correto,VP
21.66280685502548,correto,P-correto,VP
21.660954145437703,correto,P-correto,VP
21.15910143584993,incorreto,P-correto,FN
21.65724872626216,correto,P-correto,VP
21.155396016674388,incorreto,P-correto,FN
22.15354330708661,incorreto,P-correto,FN
21.65169059749884,correto,P-correto,VP
21.14983788791107,incorreto,P-correto,FN
21.6479851783233,correto,P-correto,VP
21.646132468735527,correto,P-correto,VP
21.144279759147757,incorreto,P-correto,FN
22.14242704955998,incorreto,P-correto,FN
21.640574339972208,correto,P-correto,VP
21.63872163038444,correto,P-correto,VP
21.636868920796665,correto,P-correto,VP
21.13501621120889,incorreto,P-correto,FN
21.13316350162112,incorreto,P-correto,FN
22.13131079203335,incorreto,P-correto,FN
22.129458082445577,incorreto,P-correto,FN
21.627605372857804,correto,P-correto,VP
21.62575266327003,correto,P-correto,VP
21.623899953682265,correto,P-correto,VP
21.62204724409449,correto,P-correto,VP
21.62019453450672,correto,P-correto,VP
21.118341824918943,incorreto,P-correto,FN
21.616489115331174,correto,P-correto,VP
21.6146364057434,correto,P-correto,VP
21.612783696155628,correto,P-correto,VP
21.61093098656785,correto,P-correto,VP
21.60907827698008,correto,P-correto,VP
21.607225567392312,correto,P-correto,VP
21.60537285780454,correto,P-correto,VP
22.103520148216766,incorreto,P-correto,FN
21.601667438628997,correto,P-correto,VP
22.099814729041224,incorreto,P-correto,FN
21.59796201945345,correto,P-correto,VP
21.59610930986568,correto,P-correto,VP
21.594256600277905,correto,P-correto,VP
21.592403890690136,correto,P-correto,VP
21.590551181102363,correto,P-correto,VP
21.58869847151459,correto,P-correto,VP
22.086845761926817,incorreto,P-correto,FN
21.584993052339044,correto,P-correto,VP
22.083140342751275,incorreto,P-correto,FN
22.0812876331635,incorreto,P-correto,FN
21.57943492357573,correto,P-correto,VP
21.07758221398796,incorreto,P-correto,FN
21.575729504400183,correto,P-correto,VP
21.073876794812413,incorreto,P-correto,FN
21.57202408522464,correto,P-correto,VP
21.570171375636868,correto,P-correto,VP
21.568318666049095,correto,P-correto,VP
21.566465956461325,correto,P-correto,VP
21.564613246873552,correto,P-correto,VP
21.06276053728578,incorreto,P-correto,FN
21.56090782769801,correto,P-correto,VP
21.55905511811024,correto,P-correto,VP
21.557202408522464,correto,P-correto,VP
21.55534969893469,correto,P-correto,VP
21.55349698934692,correto,P-correto,VP
21.55164427975915,correto,P-correto,VP
22.049791570171376,incorreto,P-correto,FN
22.047938860583603,incorreto,P-correto,FN
21.54608615099583,correto,P-correto,VP
22.04423344140806,incorreto,P-correto,FN
22.042380731820288,incorreto,P-correto,FN
21.040528022232515,incorreto,P-correto,FN
21.53867531264474,correto,P-correto,VP
21.53682260305697,correto,P-correto,VP
21.5349698934692,correto,P-correto,VP
21.533117183881423,correto,P-correto,VP
21.531264474293653,correto,P-correto,VP
21.529411764705884,correto,P-correto,VP
21.02755905511811,incorreto,P-correto,FN
21.525706345530335,correto,P-correto,VP
21.523853635942565,correto,P-correto,VP
22.022000926354792,incorreto,P-correto,FN
21.520148216767023,correto,P-correto,VP
22.01829550717925,incorreto,P-correto,FN
22.01644279759148,incorreto,P-correto,FN
21.514590088003704,correto,P-correto,VP
21.51273737841593,correto,P-correto,VP
21.51088466882816,correto,P-correto,VP
21.50903195924039,correto,P-correto,VP
21.507179249652616,correto,P-correto,VP
21.005326540064846,incorreto,P-correto,FN
21.003473830477077,incorreto,P-correto,FN
21.5016211208893,correto,P-correto,VP
20.999768411301527,incorreto,P-correto,FN
21.49791570171376,correto,P-correto,VP
21.996062992125985,incorreto,P-correto,FN
21.49421028253821,correto,P-correto,VP
20.99235757295044,incorreto,P-correto,FN
21.490504863362663,correto,P-correto,VP
21.488652153774897,correto,P-correto,VP
21.486799444187124,correto,P-correto,VP
21.48494673459935,correto,P-correto,VP
21.983094025011575,incorreto,P-correto,FN
21.48124131542381,correto,P-correto,VP
21.47938860583604,correto,P-correto,VP
21.477535896248263,correto,P-correto,VP
20.97568318666049,incorreto,P-correto,FN
21.47383047707272,correto,P-correto,VP
21.471977767484947,correto,P-correto,VP
21.47012505789717,correto,P-correto,VP
21.4682723483094,correto,P-correto,VP
21.966419638721632,incorreto,P-correto,FN
20.96456692913386,incorreto,P-correto,FN
