Dado,Label,Predição,Avaliação
22.0,correto,P-correto,VP
21.998147290412227,correto,P-correto,VP
21.99629458082445,correto,P-correto,VP
21.994441871236685,correto,P-correto,VP
21.99258916164891,correto,P-correto,VP
21.99073645206114,correto,P-correto,VP
21.98888374247337,correto,P-correto,VP
21.9870310328856,correto,P-correto,VP
21.985178323297824,correto,P-correto,VP
27.01650491472436,incorreto,P-incorreto,VN
21.98147290412228,correto,P-correto,VP
21.979620194534508,correto,P-correto,VP
21.97776748494673,correto,P-correto,VP
21.97591477535896,correto,P-correto,VP
22.21159865487505,incorreto,P-correto,FN
14.86258838928325,incorreto,P-incorreto,VN
33.597719386147695,incorreto,P-incorreto,VN
32.38715239351214,incorreto,P-incorreto,VN
21.9666512274201,correto,P-correto,VP
21.964798517832328,correto,P-correto,VP
21.96294580824456,correto,P-correto,VP
21.961093098656782,correto,P-correto,VP
21.959240389069013,correto,P-correto,VP
21.95738767948124,correto,P-correto,VP
15.771412590155592,incorreto,P-incorreto,VN
10.537952355002044,incorreto,P-incorreto,VN
21.951829550717925,correto,P-correto,VP
21.94997684113015,correto,P-correto,VP
21.948124131542382,correto,P-correto,VP
37.67759964732401,incorreto,P-incorreto,VN
18.027981687484115,incorreto,P-incorreto,VN
21.942566002779063,correto,P-correto,VP
21.94071329319129,correto,P-correto,VP
21.93886058360352,correto,P-correto,VP
21.937007874015748,correto,P-correto,VP
23.70864099672632,incorreto,P-correto,FN
21.9333024548402,correto,P-correto,VP
25.059921635990232,incorreto,P-incorreto,VN
40.14558165741212,incorreto,P-incorreto,VN
31.968200125481506,incorreto,P-incorreto,VN
29.95203045656095,incorreto,P-incorreto,VN
21.924038906901345,correto,P-correto,VP
21.92218619731357,correto,P-correto,VP
21.9203334877258,correto,P-correto,VP
21.124744461862488,incorreto,P-correto,FN
21.916628068550256,correto,P-correto,VP
21.914775358962483,correto,P-correto,VP
32.14788756768655,incorreto,P-incorreto,VN
2.9738080519422354,incorreto,P-incorreto,VN
15.018484993551445,incorreto,P-incorreto,VN
21.907364520611395,correto,P-correto,VP
16.419162142944263,incorreto,P-incorreto,VN
21.90365910143585,correto,P-correto,VP
21.90180639184808,correto,P-correto,VP
29.31146639100748,incorreto,P-incorreto,VN
21.89810097267253,correto,P-correto,VP
21.89624826308476,correto,P-correto,VP
21.894395553496988,correto,P-correto,VP
21.89254284390922,correto,P-correto,VP
22.01753558184665,incorreto,P-correto,FN
29.565003971077324,incorreto,P-incorreto,VN
21.8869847151459,correto,P-correto,VP
20.82888072653996,incorreto,P-correto,FN
6.851713434623299,incorreto,P-incorreto,VN
21.881426586382585,correto,P-correto,VP
21.87957387679481,correto,P-correto,VP
5.379908359862066,incorreto,P-incorreto,VN
21.87586845761927,correto,P-correto,VP
21.874015748031496,correto,P-correto,VP
21.872163038443723,correto,P-correto,VP
21.87031032885595,correto,P-correto,VP
7.9414191823626545,incorreto,P-incorreto,VN
21.196484949393703,incorreto,P-correto,FN
21.864752200092635,correto,P-correto,VP
21.862899490504866,correto,P-correto,VP
21.861046780917093,correto,P-correto,VP
21.85919407132932,correto,P-correto,VP
21.857341361741547,correto,P-correto,VP
21.85548865215377,correto,P-correto,VP
21.853635942566005,correto,P-correto,VP
17.335758641343546,incorreto,P-incorreto,VN
21.84993052339046,correto,P-correto,VP
21.84807781380269,correto,P-correto,VP
46.87466240050627,incorreto,P-incorreto,VN
21.844372394627143,correto,P-correto,VP
21.84251968503937,correto,P-correto,VP
37.56521110705809,incorreto,P-incorreto,VN
21.838814265863824,correto,P-correto,VP
31.894619660471616,incorreto,P-incorreto,VN
14.249307228201644,incorreto,P-incorreto,VN
21.83325613710051,correto,P-correto,VP
21.831403427512736,correto,P-correto,VP
21.829550717924967,correto,P-correto,VP
21.827698008337197,correto,P-correto,VP
21.82584529874942,correto,P-correto,VP
16.311983143844667,incorreto,P-incorreto,VN
28.97322487048007,incorreto,P-incorreto,VN
21.820287169986106,correto,P-correto,VP
21.818434460398333,correto,P-correto,VP
29.66962424258613,incorreto,P-incorreto,VN
27.229663144651497,incorreto,P-incorreto,VN
19.114419595848748,incorreto,P-correto,FN
21.811023622047244,correto,P-correto,VP
21.80917091245947,correto,P-correto,VP
21.8073182028717,correto,P-correto,VP
21.80546549328393,correto,P-correto,VP
21.80361278369616,correto,P-correto,VP
26.634836375568327,incorreto,P-incorreto,VN
21.79990736452061,correto,P-correto,VP
21.79805465493284,correto,P-correto,VP
21.796201945345068,correto,P-correto,VP
25.735470876212183,incorreto,P-incorreto,VN
31.089907123591765,incorreto,P-incorreto,VN
20.93364590973148,incorreto,P-correto,FN
21.78879110699398,correto,P-correto,VP
19.07239795310881,incorreto,P-correto,FN
21.785085687818437,correto,P-correto,VP
21.78323297823066,correto,P-correto,VP
21.78138026864289,correto,P-correto,VP
21.77952755905512,correto,P-correto,VP
21.777674849467346,correto,P-correto,VP
21.775822139879573,correto,P-correto,VP
21.773969430291803,correto,P-correto,VP
21.77211672070403,correto,P-correto,VP
19.56312500778729,incorreto,P-correto,FN
39.98618978969779,incorreto,P-incorreto,VN
21.766558591940715,correto,P-correto,VP
15.562020921499066,incorreto,P-incorreto,VN
22.86844983430194,incorreto,P-correto,FN
21.7610004631774,correto,P-correto,VP
22.771379734416044,incorreto,P-correto,FN
29.96078200686223,incorreto,P-incorreto,VN
21.75544233441408,correto,P-correto,VP
27.580028465198023,incorreto,P-incorreto,VN
21.75173691523853,correto,P-correto,VP
21.74988420565077,correto,P-correto,VP
21.06690097088357,incorreto,P-correto,FN
21.74617878647522,correto,P-correto,VP
21.744326076887447,correto,P-correto,VP
21.74247336729968,correto,P-correto,VP
21.740620657711904,correto,P-correto,VP
21.73876794812413,correto,P-correto,VP
21.73691523853636,correto,P-correto,VP
21.73506252894859,correto,P-correto,VP
16.164429998758525,incorreto,P-incorreto,VN
12.23777925901635,incorreto,P-incorreto,VN
3.49633733460189,incorreto,P-incorreto,VN
33.065084333723455,incorreto,P-incorreto,VN
24.47189155043905,incorreto,P-correto,FN
21.723946271421955,correto,P-correto,VP
21.932055305811243,incorreto,P-correto,FN
10.292518790734494,incorreto,P-incorreto,VN
33.15410156894919,incorreto,P-incorreto,VN
22.56584951908413,incorreto,P-correto,FN
7.40638920921873,incorreto,P-incorreto,VN
21.71283001389532,correto,P-correto,VP
21.71097730430755,correto,P-correto,VP
21.70912459471978,correto,P-correto,VP
21.707271885132005,correto,P-correto,VP
21.705419175544236,correto,P-correto,VP
19.283715431711972,incorreto,P-correto,FN
21.70171375636869,correto,P-correto,VP
21.69986104678092,correto,P-correto,VP
31.198523633900777,incorreto,P-incorreto,VN
21.69615562760537,correto,P-correto,VP
4.6990258655752335,incorreto,P-incorreto,VN
21.69245020842983,correto,P-correto,VP
21.690597498842056,correto,P-correto,VP
21.688744789254283,correto,P-correto,VP
21.686892079666517,correto,P-correto,VP
2.696808303870977,incorreto,P-incorreto,VN
21.683186660490968,correto,P-correto,VP
4.285766746857199,incorreto,P-incorreto,VN
21.679481241315425,correto,P-correto,VP
21.67762853172765,correto,P-correto,VP
21.67577582213988,correto,P-correto,VP
21.673923112552107,correto,P-correto,VP
21.672070402964334,correto,P-correto,VP
21.670217693376564,correto,P-correto,VP
21.66836498378879,correto,P-correto,VP
33.942298930215046,incorreto,P-incorreto,VN
21.664659564613245,correto,P-correto,VP
21.66280685502548,correto,P-correto,VP
21.660954145437703,correto,P-correto,VP
16.256945214460593,incorreto,P-incorreto,VN
8.333798535193864,incorreto,P-incorreto,VN
21.655396016674388,correto,P-correto,VP
21.65354330708661,correto,P-correto,VP
21.65169059749884,correto,P-correto,VP
21.64983788791107,correto,P-correto,VP
25.21446862504793,incorreto,P-incorreto,VN
21.646132468735527,correto,P-correto,VP
17.02875507909677,incorreto,P-incorreto,VN
21.64242704955998,correto,P-correto,VP
21.640574339972208,correto,P-correto,VP
21.63872163038444,correto,P-correto,VP
30.25051933198025,incorreto,P-incorreto,VN
21.63501621120889,correto,P-correto,VP
21.63316350162112,correto,P-correto,VP
23.822091497780345,incorreto,P-correto,FN
21.629458082445577,correto,P-correto,VP
21.627605372857804,correto,P-correto,VP
21.62575266327003,correto,P-correto,VP
21.623899953682265,correto,P-correto,VP
21.62204724409449,correto,P-correto,VP
16.171573905006994,incorreto,P-incorreto,VN
19.066852431106312,incorreto,P-correto,FN
15.3541300584858,incorreto,P-incorreto,VN
12.485625868275696,incorreto,P-incorreto,VN
21.612783696155628,correto,P-correto,VP
21.61093098656785,correto,P-correto,VP
21.60907827698008,correto,P-correto,VP
21.607225567392312,correto,P-correto,VP
21.60537285780454,correto,P-correto,VP
16.676501547675215,incorreto,P-incorreto,VN
32.4010104723589,incorreto,P-incorreto,VN
21.599814729041224,correto,P-correto,VP
21.59796201945345,correto,P-correto,VP
21.59610930986568,correto,P-correto,VP
21.594256600277905,correto,P-correto,VP
48.334724276162326,incorreto,P-incorreto,VN
30.97863394391068,incorreto,P-incorreto,VN
21.58869847151459,correto,P-correto,VP
21.586845761926817,correto,P-correto,VP
21.584993052339044,correto,P-correto,VP
21.583140342751275,correto,P-correto,VP
21.5812876331635,correto,P-correto,VP
21.57943492357573,correto,P-correto,VP
21.57758221398796,correto,P-correto,VP
5.422842391431331,incorreto,P-incorreto,VN
31.25321495424584,incorreto,P-incorreto,VN
21.57202408522464,correto,P-correto,VP
31.4413506457781,incorreto,P-incorreto,VN
21.568318666049095,correto,P-correto,VP
21.566465956461325,correto,P-correto,VP
38.35674216905901,incorreto,P-incorreto,VN
21.56276053728578,correto,P-correto,VP
21.56090782769801,correto,P-correto,VP
8.822915520030435,incorreto,P-incorreto,VN
17.32098071558655,incorreto,P-incorreto,VN
21.55534969893469,correto,P-correto,VP
21.55349698934692,correto,P-correto,VP
22.60816019601171,incorreto,P-correto,FN
21.549791570171376,correto,P-correto,VP
21.547938860583603,correto,P-correto,VP
21.54608615099583,correto,P-correto,VP
21.54423344140806,correto,P-correto,VP
21.542380731820288,correto,P-correto,VP
22.7104050543038,incorreto,P-correto,FN
21.53867531264474,correto,P-correto,VP
21.53682260305697,correto,P-correto,VP
21.5349698934692,correto,P-correto,VP
21.533117183881423,correto,P-correto,VP
21.531264474293653,correto,P-correto,VP
21.529411764705884,correto,P-correto,VP
21.52755905511811,correto,P-correto,VP
21.525706345530335,correto,P-correto,VP
21.523853635942565,correto,P-correto,VP
21.522000926354792,correto,P-correto,VP
29.227912283704505,incorreto,P-incorreto,VN
21.51829550717925,correto,P-correto,VP
47.92790024567384,incorreto,P-incorreto,VN
10.13053992623218,incorreto,P-incorreto,VN
21.51273737841593,correto,P-correto,VP
33.901707434393906,incorreto,P-incorreto,VN
21.50903195924039,correto,P-correto,VP
21.507179249652616,correto,P-correto,VP
23.55652733110473,incorreto,P-correto,FN
21.503473830477077,correto,P-correto,VP
21.5016211208893,correto,P-correto,VP
21.499768411301527,correto,P-correto,VP
21.49791570171376,correto,P-correto,VP
21.496062992125985,correto,P-correto,VP
21.49421028253821,correto,P-correto,VP
21.49235757295044,correto,P-correto,VP
21.490504863362663,correto,P-correto,VP
26.853148632222275,incorreto,P-incorreto,VN
24.7049372731162,incorreto,P-incorreto,VN
21.48494673459935,correto,P-correto,VP
16.297787612634433,incorreto,P-incorreto,VN
21.48124131542381,correto,P-correto,VP
26.39984878937038,incorreto,P-incorreto,VN
21.477535896248263,correto,P-correto,VP
