Dado,Label,Predição,Avaliação,Label_Cod,Predicao_Cod,Precisao,Recall,F-Measure
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
40,incorreto,P-correto,FN,0,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
37,incorreto,P-incorreto,VN,0,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
43,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,correto,P-incorreto,FP,1,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-incorreto,FP,1,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
51,incorreto,P-incorreto,VN,0,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
28,incorreto,P-incorreto,VN,0,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
46,incorreto,P-incorreto,VN,0,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-incorreto,FP,1,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,incorreto,P-correto,FN,0,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
43,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,correto,P-incorreto,FP,1,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
43,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
43,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-incorreto,FP,1,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
43,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,correto,P-incorreto,FP,1,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
44,correto,P-incorreto,FP,1,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
43,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
43,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-incorreto,FP,1,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
42,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
28,incorreto,P-incorreto,VN,0,0,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
41,correto,P-correto,VP,1,1,0.9775526964139064,0.9184670781893004,0.9470892454581621
