Dado,Label,Predição,Avaliação
22.0,correto,P-correto,VP
21.998147290412227,correto,P-correto,VP
31.99629458082445,incorreto,P-correto,FN
31.994441871236685,incorreto,P-correto,FN
31.99258916164891,incorreto,P-correto,FN
21.99073645206114,correto,P-correto,VP
21.98888374247337,correto,P-correto,VP
21.9870310328856,correto,P-correto,VP
31.985178323297824,incorreto,P-correto,FN
21.98332561371005,correto,P-correto,VP
21.98147290412228,correto,P-correto,VP
21.979620194534508,correto,P-correto,VP
31.97776748494673,incorreto,P-correto,FN
31.97591477535896,incorreto,P-correto,FN
31.97406206577119,incorreto,P-correto,FN
31.97220935618342,incorreto,P-correto,FN
21.970356646595647,correto,P-correto,VP
31.968503937007878,incorreto,P-correto,FN
21.9666512274201,correto,P-correto,VP
21.964798517832328,correto,P-correto,VP
21.96294580824456,correto,P-correto,VP
31.961093098656782,incorreto,P-correto,FN
31.959240389069013,incorreto,P-correto,FN
21.95738767948124,correto,P-correto,VP
21.95553496989347,correto,P-correto,VP
21.953682260305698,correto,P-correto,VP
21.951829550717925,correto,P-correto,VP
31.94997684113015,incorreto,P-correto,FN
21.948124131542382,correto,P-correto,VP
21.94627142195461,correto,P-correto,VP
21.94441871236684,correto,P-correto,VP
21.942566002779063,correto,P-correto,VP
21.94071329319129,correto,P-correto,VP
31.93886058360352,incorreto,P-correto,FN
31.937007874015748,incorreto,P-correto,FN
31.93515516442797,incorreto,P-correto,FN
31.9333024548402,incorreto,P-correto,FN
31.931449745252436,incorreto,P-correto,FN
31.92959703566466,incorreto,P-correto,FN
31.927744326076887,incorreto,P-correto,FN
21.925891616489118,correto,P-correto,VP
31.924038906901345,incorreto,P-correto,FN
21.92218619731357,correto,P-correto,VP
31.9203334877258,incorreto,P-correto,FN
21.918480778138026,correto,P-correto,VP
31.916628068550256,incorreto,P-correto,FN
31.914775358962483,incorreto,P-correto,FN
21.91292264937471,correto,P-correto,VP
21.911069939786938,correto,P-correto,VP
31.909217230199165,incorreto,P-correto,FN
21.907364520611395,correto,P-correto,VP
21.905511811023626,correto,P-correto,VP
21.90365910143585,correto,P-correto,VP
21.90180639184808,correto,P-correto,VP
31.899953682260307,incorreto,P-correto,FN
21.89810097267253,correto,P-correto,VP
31.89624826308476,incorreto,P-correto,FN
21.894395553496988,correto,P-correto,VP
21.89254284390922,correto,P-correto,VP
31.89069013432145,incorreto,P-correto,FN
21.888837424733676,correto,P-correto,VP
21.8869847151459,correto,P-correto,VP
31.88513200555813,incorreto,P-correto,FN
31.88327929597036,incorreto,P-correto,FN
31.881426586382585,incorreto,P-correto,FN
21.87957387679481,correto,P-correto,VP
21.87772116720704,correto,P-correto,VP
31.87586845761927,incorreto,P-correto,FN
21.874015748031496,correto,P-correto,VP
21.872163038443723,correto,P-correto,VP
21.87031032885595,correto,P-correto,VP
31.86845761926818,incorreto,P-correto,FN
31.866604909680408,incorreto,P-correto,FN
31.864752200092635,incorreto,P-correto,FN
21.862899490504866,correto,P-correto,VP
21.861046780917093,correto,P-correto,VP
31.85919407132932,incorreto,P-correto,FN
21.857341361741547,correto,P-correto,VP
21.85548865215377,correto,P-correto,VP
21.853635942566005,correto,P-correto,VP
21.85178323297823,correto,P-correto,VP
21.84993052339046,correto,P-correto,VP
31.84807781380269,incorreto,P-correto,FN
21.846225104214916,correto,P-correto,VP
31.844372394627143,incorreto,P-correto,FN
31.84251968503937,incorreto,P-correto,FN
21.8406669754516,correto,P-correto,VP
31.838814265863824,incorreto,P-correto,FN
21.83696155627605,correto,P-correto,VP
21.83510884668828,correto,P-correto,VP
31.83325613710051,incorreto,P-correto,FN
21.831403427512736,correto,P-correto,VP
31.829550717924967,incorreto,P-correto,FN
21.827698008337197,correto,P-correto,VP
21.82584529874942,correto,P-correto,VP
21.823992589161648,correto,P-correto,VP
31.822139879573875,incorreto,P-correto,FN
31.820287169986106,incorreto,P-correto,FN
21.818434460398333,correto,P-correto,VP
21.81658175081056,correto,P-correto,VP
21.814729041222787,correto,P-correto,VP
21.812876331635017,correto,P-correto,VP
21.811023622047244,correto,P-correto,VP
21.80917091245947,correto,P-correto,VP
31.8073182028717,incorreto,P-correto,FN
31.80546549328393,incorreto,P-correto,FN
21.80361278369616,correto,P-correto,VP
21.801760074108383,correto,P-correto,VP
31.79990736452061,incorreto,P-correto,FN
21.79805465493284,correto,P-correto,VP
31.796201945345068,incorreto,P-correto,FN
21.79434923575729,correto,P-correto,VP
31.79249652616952,incorreto,P-correto,FN
31.79064381658175,incorreto,P-correto,FN
21.78879110699398,correto,P-correto,VP
21.786938397406207,correto,P-correto,VP
21.785085687818437,correto,P-correto,VP
21.78323297823066,correto,P-correto,VP
21.78138026864289,correto,P-correto,VP
31.77952755905512,incorreto,P-correto,FN
21.777674849467346,correto,P-correto,VP
21.775822139879573,correto,P-correto,VP
31.773969430291803,incorreto,P-correto,FN
21.77211672070403,correto,P-correto,VP
21.770264011116257,correto,P-correto,VP
31.768411301528484,incorreto,P-correto,FN
21.766558591940715,correto,P-correto,VP
31.764705882352946,incorreto,P-correto,FN
31.76285317276517,incorreto,P-correto,FN
31.7610004631774,incorreto,P-correto,FN
21.759147753589623,correto,P-correto,VP
21.757295044001854,correto,P-correto,VP
21.75544233441408,correto,P-correto,VP
21.753589624826308,correto,P-correto,VP
21.75173691523853,correto,P-correto,VP
21.74988420565077,correto,P-correto,VP
21.748031496062996,correto,P-correto,VP
31.74617878647522,incorreto,P-correto,FN
31.744326076887447,incorreto,P-correto,FN
31.74247336729968,incorreto,P-correto,FN
31.740620657711904,incorreto,P-correto,FN
31.73876794812413,incorreto,P-correto,FN
21.73691523853636,correto,P-correto,VP
31.73506252894859,incorreto,P-correto,FN
21.733209819360816,correto,P-correto,VP
21.731357109773043,correto,P-correto,VP
21.72950440018527,correto,P-correto,VP
21.727651690597497,correto,P-correto,VP
31.725798981009728,incorreto,P-correto,FN
31.723946271421955,incorreto,P-correto,FN
21.722093561834185,correto,P-correto,VP
21.72024085224641,correto,P-correto,VP
21.71838814265864,correto,P-correto,VP
21.716535433070867,correto,P-correto,VP
21.714682723483094,correto,P-correto,VP
21.71283001389532,correto,P-correto,VP
21.71097730430755,correto,P-correto,VP
31.70912459471978,incorreto,P-correto,FN
21.707271885132005,correto,P-correto,VP
31.705419175544236,incorreto,P-correto,FN
31.703566465956463,incorreto,P-correto,FN
31.70171375636869,incorreto,P-correto,FN
31.69986104678092,incorreto,P-correto,FN
21.698008337193144,correto,P-correto,VP
21.69615562760537,correto,P-correto,VP
21.6943029180176,correto,P-correto,VP
21.69245020842983,correto,P-correto,VP
21.690597498842056,correto,P-correto,VP
31.688744789254283,incorreto,P-correto,FN
21.686892079666517,correto,P-correto,VP
21.68503937007874,correto,P-correto,VP
31.683186660490968,incorreto,P-correto,FN
21.681333950903195,correto,P-correto,VP
31.679481241315425,incorreto,P-correto,FN
21.67762853172765,correto,P-correto,VP
31.67577582213988,incorreto,P-correto,FN
21.673923112552107,correto,P-correto,VP
21.672070402964334,correto,P-correto,VP
21.670217693376564,correto,P-correto,VP
31.66836498378879,incorreto,P-correto,FN
21.66651227420102,correto,P-correto,VP
21.664659564613245,correto,P-correto,VP
21.66280685502548,correto,P-correto,VP
21.660954145437703,correto,P-correto,VP
31.65910143584993,incorreto,P-correto,FN
21.65724872626216,correto,P-correto,VP
31.655396016674388,incorreto,P-correto,FN
31.65354330708661,incorreto,P-correto,FN
21.65169059749884,correto,P-correto,VP
31.64983788791107,incorreto,P-correto,FN
21.6479851783233,correto,P-correto,VP
21.646132468735527,correto,P-correto,VP
31.644279759147757,incorreto,P-correto,FN
31.64242704955998,incorreto,P-correto,FN
21.640574339972208,correto,P-correto,VP
21.63872163038444,correto,P-correto,VP
21.636868920796665,correto,P-correto,VP
31.63501621120889,incorreto,P-correto,FN
31.63316350162112,incorreto,P-correto,FN
31.63131079203335,incorreto,P-correto,FN
31.629458082445577,incorreto,P-correto,FN
21.627605372857804,correto,P-correto,VP
21.62575266327003,correto,P-correto,VP
21.623899953682265,correto,P-correto,VP
21.62204724409449,correto,P-correto,VP
21.62019453450672,correto,P-correto,VP
31.618341824918943,incorreto,P-correto,FN
21.616489115331174,correto,P-correto,VP
21.6146364057434,correto,P-correto,VP
21.612783696155628,correto,P-correto,VP
21.61093098656785,correto,P-correto,VP
21.60907827698008,correto,P-correto,VP
21.607225567392312,correto,P-correto,VP
21.60537285780454,correto,P-correto,VP
31.603520148216766,incorreto,P-correto,FN
21.601667438628997,correto,P-correto,VP
31.599814729041224,incorreto,P-correto,FN
21.59796201945345,correto,P-correto,VP
21.59610930986568,correto,P-correto,VP
21.594256600277905,correto,P-correto,VP
21.592403890690136,correto,P-correto,VP
21.590551181102363,correto,P-correto,VP
21.58869847151459,correto,P-correto,VP
31.586845761926817,incorreto,P-correto,FN
21.584993052339044,correto,P-correto,VP
31.583140342751275,incorreto,P-correto,FN
31.5812876331635,incorreto,P-correto,FN
21.57943492357573,correto,P-correto,VP
31.57758221398796,incorreto,P-correto,FN
21.575729504400183,correto,P-correto,VP
31.573876794812413,incorreto,P-correto,FN
21.57202408522464,correto,P-correto,VP
21.570171375636868,correto,P-correto,VP
21.568318666049095,correto,P-correto,VP
21.566465956461325,correto,P-correto,VP
21.564613246873552,correto,P-correto,VP
31.56276053728578,incorreto,P-correto,FN
21.56090782769801,correto,P-correto,VP
21.55905511811024,correto,P-correto,VP
21.557202408522464,correto,P-correto,VP
21.55534969893469,correto,P-correto,VP
21.55349698934692,correto,P-correto,VP
21.55164427975915,correto,P-correto,VP
31.549791570171376,incorreto,P-correto,FN
31.547938860583603,incorreto,P-correto,FN
21.54608615099583,correto,P-correto,VP
31.54423344140806,incorreto,P-correto,FN
31.542380731820288,incorreto,P-correto,FN
31.540528022232515,incorreto,P-correto,FN
21.53867531264474,correto,P-correto,VP
21.53682260305697,correto,P-correto,VP
21.5349698934692,correto,P-correto,VP
21.533117183881423,correto,P-correto,VP
21.531264474293653,correto,P-correto,VP
21.529411764705884,correto,P-correto,VP
31.52755905511811,incorreto,P-correto,FN
21.525706345530335,correto,P-correto,VP
21.523853635942565,correto,P-correto,VP
31.522000926354792,incorreto,P-correto,FN
21.520148216767023,correto,P-correto,VP
31.51829550717925,incorreto,P-correto,FN
31.51644279759148,incorreto,P-correto,FN
21.514590088003704,correto,P-correto,VP
21.51273737841593,correto,P-correto,VP
21.51088466882816,correto,P-correto,VP
21.50903195924039,correto,P-correto,VP
21.507179249652616,correto,P-correto,VP
31.505326540064846,incorreto,P-correto,FN
31.503473830477077,incorreto,P-correto,FN
21.5016211208893,correto,P-correto,VP
31.499768411301527,incorreto,P-correto,FN
21.49791570171376,correto,P-correto,VP
31.496062992125985,incorreto,P-correto,FN
21.49421028253821,correto,P-correto,VP
31.49235757295044,incorreto,P-correto,FN
21.490504863362663,correto,P-correto,VP
21.488652153774897,correto,P-correto,VP
21.486799444187124,correto,P-correto,VP
21.48494673459935,correto,P-correto,VP
31.483094025011575,incorreto,P-correto,FN
21.48124131542381,correto,P-correto,VP
21.47938860583604,correto,P-correto,VP
21.477535896248263,correto,P-correto,VP
31.47568318666049,incorreto,P-correto,FN
21.47383047707272,correto,P-correto,VP
21.471977767484947,correto,P-correto,VP
21.47012505789717,correto,P-correto,VP
21.4682723483094,correto,P-correto,VP
31.466419638721632,incorreto,P-correto,FN
31.46456692913386,incorreto,P-correto,FN
