Dado,Label,Predição,Avaliação
17.94572257399421,incorreto,P-correto,FN
34.103768151467406,incorreto,P-correto,FN
32.26952586934365,incorreto,P-correto,FN
12.378163484628647,incorreto,P-incorreto,VN
21.99258916164891,correto,P-correto,VP
21.99073645206114,correto,P-correto,VP
21.98888374247337,correto,P-correto,VP
21.9870310328856,correto,P-correto,VP
21.985178323297824,correto,P-correto,VP
21.98332561371005,correto,P-correto,VP
21.98147290412228,correto,P-correto,VP
21.979620194534508,correto,P-correto,VP
21.97776748494673,correto,P-correto,VP
17.19797909991931,incorreto,P-correto,FN
21.97406206577119,correto,P-correto,VP
21.97220935618342,correto,P-correto,VP
21.970356646595647,correto,P-correto,VP
20.605450806052325,incorreto,P-correto,FN
10.019820827447012,incorreto,P-incorreto,VN
21.964798517832328,correto,P-correto,VP
21.96294580824456,correto,P-correto,VP
21.961093098656782,correto,P-correto,VP
21.959240389069013,correto,P-correto,VP
21.95738767948124,correto,P-correto,VP
21.95553496989347,correto,P-correto,VP
21.953682260305698,correto,P-correto,VP
24.75652220939429,incorreto,P-correto,FN
12.63838822347586,incorreto,P-incorreto,VN
21.948124131542382,correto,P-correto,VP
28.26158567283402,incorreto,P-correto,FN
21.94441871236684,correto,P-correto,VP
21.942566002779063,correto,P-correto,VP
21.94071329319129,correto,P-correto,VP
21.93886058360352,correto,P-correto,VP
13.611881491077702,incorreto,P-incorreto,VN
21.93515516442797,correto,P-correto,VP
21.9333024548402,correto,P-correto,VP
14.392663211435885,incorreto,P-incorreto,VN
21.92959703566466,correto,P-correto,VP
21.927744326076887,correto,P-correto,VP
22.394720710118563,incorreto,P-correto,FN
21.924038906901345,correto,P-correto,VP
21.92218619731357,correto,P-correto,VP
35.842870389369764,incorreto,P-correto,FN
21.918480778138026,correto,P-correto,VP
21.916628068550256,correto,P-correto,VP
19.685478066420725,incorreto,P-correto,FN
21.91292264937471,correto,P-correto,VP
21.911069939786938,correto,P-correto,VP
21.909217230199165,correto,P-correto,VP
24.759566945239275,incorreto,P-correto,FN
21.905511811023626,correto,P-correto,VP
21.90365910143585,correto,P-correto,VP
21.90180639184808,correto,P-correto,VP
21.899953682260307,correto,P-correto,VP
20.669681869571843,incorreto,P-correto,FN
21.89624826308476,correto,P-correto,VP
9.254186698950033,incorreto,P-incorreto,VN
21.89254284390922,correto,P-correto,VP
21.89069013432145,correto,P-correto,VP
21.888837424733676,correto,P-correto,VP
21.8869847151459,correto,P-correto,VP
21.88513200555813,correto,P-correto,VP
21.88327929597036,correto,P-correto,VP
21.881426586382585,correto,P-correto,VP
21.87957387679481,correto,P-correto,VP
21.87772116720704,correto,P-correto,VP
21.87586845761927,correto,P-correto,VP
21.874015748031496,correto,P-correto,VP
21.872163038443723,correto,P-correto,VP
