Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,diversidade-Bias-L1,0.9413665432514301,0.0361177921295166
2,diversidade-Bias-L1,0.9416279539486969,0.037177085876464844
3,diversidade-Bias-L1,0.9416284712860606,0.039598941802978516
4,diversidade-Bias-L1,0.941366761019005,0.04033350944519043
5,diversidade-Bias-L1,0.9415488215488214,0.03771042823791504
6,diversidade-Bias-L1,0.9417619367854738,0.03772306442260742
7,diversidade-Bias-L1,0.9415488215488214,0.03598475456237793
8,diversidade-Bias-L1,0.9412478102681576,0.03688669204711914
9,diversidade-Bias-L1,0.941422030702936,0.0406193733215332
10,diversidade-Bias-L1,0.9412873687045519,0.036278724670410156
11,diversidade-Bias-L1,0.9415719760640081,0.03678131103515625
12,diversidade-Bias-L1,0.9414936640603936,0.03925180435180664
13,diversidade-Bias-L1,0.9414375042022454,0.03754544258117676
14,diversidade-Bias-L1,0.9416739378481777,0.03668332099914551
15,diversidade-Bias-L1,0.9413426611058795,0.041768789291381836
16,diversidade-Bias-L1,0.941366761019005,0.04121565818786621
17,diversidade-Bias-L1,0.9414456858258174,0.03946709632873535
18,diversidade-Bias-L1,0.9416986080290498,0.038166046142578125
19,diversidade-Bias-L1,0.9415488215488214,0.03844571113586426
20,diversidade-Bias-L1,0.941327046143483,0.03973245620727539
21,diversidade-Bias-L1,0.9413191403355118,0.09312891960144043
22,diversidade-Bias-L1,0.9415479709755438,0.05086374282836914
23,diversidade-Bias-L1,0.941492938802959,0.045188188552856445
24,diversidade-Bias-L1,0.9414940279371075,0.037827253341674805
25,diversidade-Bias-L1,0.9412478102681576,0.04076051712036133
26,diversidade-Bias-L1,0.9473684210526317,0.043084144592285156
27,diversidade-Bias-L1,0.9416750756811304,0.03832268714904785
28,diversidade-Bias-L1,0.9414689872992402,0.03804659843444824
29,diversidade-Bias-L1,0.9413748903730691,0.03985881805419922
30,diversidade-Bias-L1,0.9416593768925376,0.037781715393066406
