Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,diversidade-Drift-L1,0.9469122426868904,0.04930424690246582
2,diversidade-Drift-L1,0.9469835466179162,0.04898333549499512
3,diversidade-Drift-L1,0.9464128446582211,0.04787588119506836
4,diversidade-Drift-L1,0.9463414634146337,0.048485517501831055
5,diversidade-Drift-L1,0.9468409290986662,0.04940986633300781
6,diversidade-Drift-L1,0.9475607280600848,0.04901432991027832
7,diversidade-Drift-L1,0.9468409290986662,0.05132174491882324
8,diversidade-Drift-L1,0.946348733233979,0.05074882507324219
9,diversidade-Drift-L1,0.9468409290986662,0.05110502243041992
10,diversidade-Drift-L1,0.94676960585128,0.0485224723815918
11,diversidade-Drift-L1,0.9476248477466506,0.048182010650634766
12,diversidade-Drift-L1,0.9463414634146337,0.048584938049316406
13,diversidade-Drift-L1,0.9475536306422147,0.0491943359375
14,diversidade-Drift-L1,0.9485497937935231,0.0484774112701416
15,diversidade-Drift-L1,0.9472045485312036,0.0502321720123291
16,diversidade-Drift-L1,0.9462773524828942,0.04289674758911133
17,diversidade-Drift-L1,0.9470548408937032,0.04103660583496094
18,diversidade-Drift-L1,0.9475607280600848,0.04462742805480957
19,diversidade-Drift-L1,0.9468409290986662,0.0432436466217041
20,diversidade-Drift-L1,0.9464914657274455,0.04321765899658203
21,diversidade-Drift-L1,0.9464842162308628,0.04279494285583496
22,diversidade-Drift-L1,0.9479807887438271,0.04420208930969238
23,diversidade-Drift-L1,0.9474824038982134,0.04861283302307129
24,diversidade-Drift-L1,0.9457059581102151,0.0431368350982666
25,diversidade-Drift-L1,0.9464128446582211,0.04200577735900879
26,diversidade-Drift-L1,0.9473684210526317,0.044312238693237305
27,diversidade-Drift-L1,0.9474111675126905,0.045416831970214844
28,diversidade-Drift-L1,0.9478384412421352,0.0425114631652832
29,diversidade-Drift-L1,0.9458415237578796,0.0413508415222168
30,diversidade-Drift-L1,0.9472045485312036,0.0412750244140625
