Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,diversidade-Freezing-L2,0.6663579532299143,0.041028499603271484
2,diversidade-Freezing-L2,0.6665637780692955,0.03927302360534668
3,diversidade-Freezing-L2,0.6662550169805497,0.04434537887573242
4,diversidade-Freezing-L2,0.66615206483983,0.040144920349121094
5,diversidade-Freezing-L2,0.6662550169805497,0.04174184799194336
6,diversidade-Freezing-L2,0.6662550169805497,0.0393369197845459
7,diversidade-Freezing-L2,0.6664608735916036,0.04083728790283203
8,diversidade-Freezing-L2,0.6665637780692955,0.039255380630493164
9,diversidade-Freezing-L2,0.6664608735916036,0.04204821586608887
10,diversidade-Freezing-L2,0.66615206483983,0.0395503044128418
11,diversidade-Freezing-L2,0.6660490968040758,0.03912615776062012
12,diversidade-Freezing-L2,0.6664608735916036,0.04170489311218262
13,diversidade-Freezing-L2,0.66615206483983,0.0401456356048584
14,diversidade-Freezing-L2,0.6660490968040758,0.040761709213256836
15,diversidade-Freezing-L2,0.6663579532299143,0.03978371620178223
16,diversidade-Freezing-L2,0.665843113032736,0.08912301063537598
17,diversidade-Freezing-L2,0.6660490968040758,0.09196805953979492
18,diversidade-Freezing-L2,0.66615206483983,0.04805135726928711
19,diversidade-Freezing-L2,0.6660490968040758,0.04344987869262695
20,diversidade-Freezing-L2,0.6663579532299143,0.04584622383117676
21,diversidade-Freezing-L2,0.6666666666666665,0.04881453514099121
22,diversidade-Freezing-L2,0.6663579532299143,0.04197359085083008
23,diversidade-Freezing-L2,0.6663579532299143,0.0408480167388916
24,diversidade-Freezing-L2,0.6664608735916036,0.04204249382019043
25,diversidade-Freezing-L2,0.6665637780692955,0.04113292694091797
26,diversidade-Freezing-L2,0.6664608735916036,0.0400691032409668
27,diversidade-Freezing-L2,0.6660490968040758,0.04138946533203125
28,diversidade-Freezing-L2,0.6663579532299143,0.03888344764709473
29,diversidade-Freezing-L2,0.6662550169805497,0.03924155235290527
30,diversidade-Freezing-L2,0.6662550169805497,0.04171943664550781
