Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,diversidade-LossAccuracy-L1,0.9470477119005544,0.04163694381713867
2,diversidade-LossAccuracy-L1,0.9470925271242229,0.037586212158203125
3,diversidade-LossAccuracy-L1,0.9473876729866487,0.03835868835449219
4,diversidade-LossAccuracy-L1,0.9470667154531042,0.03787875175476074
5,diversidade-LossAccuracy-L1,0.9470860765666912,0.03838181495666504
6,diversidade-LossAccuracy-L1,0.946842233601561,0.042694807052612305
7,diversidade-LossAccuracy-L1,0.9470218862403216,0.041136980056762695
8,diversidade-LossAccuracy-L1,0.9470925271242229,0.03553938865661621
9,diversidade-LossAccuracy-L1,0.9473170731707318,0.038550376892089844
10,diversidade-LossAccuracy-L1,0.9471631421780734,0.04043221473693848
11,diversidade-LossAccuracy-L1,0.9336053412462912,0.03956031799316406
12,diversidade-LossAccuracy-L1,0.9337785197551476,0.04218149185180664
13,diversidade-LossAccuracy-L1,0.9473684210526317,0.041018009185791016
14,diversidade-LossAccuracy-L1,0.9474582469828117,0.03936505317687988
15,diversidade-LossAccuracy-L1,0.9471438151557642,0.041033267974853516
16,diversidade-LossAccuracy-L1,0.9473299195318213,0.04262089729309082
17,diversidade-LossAccuracy-L1,0.9470796244360445,0.037828922271728516
18,diversidade-LossAccuracy-L1,0.9475096019020911,0.03945755958557129
19,diversidade-LossAccuracy-L1,0.9472015607852703,0.03958439826965332
20,diversidade-LossAccuracy-L1,0.9343877424935129,0.038780927658081055
21,diversidade-LossAccuracy-L1,0.9472144337437522,0.0383450984954834
22,diversidade-LossAccuracy-L1,0.947381257240412,0.04071474075317383
23,diversidade-LossAccuracy-L1,0.9470796244360445,0.03747844696044922
24,diversidade-LossAccuracy-L1,0.9468999573248794,0.03880572319030762
25,diversidade-LossAccuracy-L1,0.9472144337437522,0.03740572929382324
26,diversidade-LossAccuracy-L1,0.9473684210526317,0.03843569755554199
27,diversidade-LossAccuracy-L1,0.9340829060357074,0.03667950630187988
28,diversidade-LossAccuracy-L1,0.9471438151557642,0.03861045837402344
29,diversidade-LossAccuracy-L1,0.9346279918362298,0.038219451904296875
30,diversidade-LossAccuracy-L1,0.9473299195318213,0.03923511505126953
