Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,diversidade-Noise-L2,0.8915145005370566,0.042258501052856445
2,diversidade-Noise-L2,0.891037446286065,0.04300045967102051
3,diversidade-Noise-L2,0.8910997168439585,0.04160118103027344
4,diversidade-Noise-L2,0.8897583429228996,0.04105997085571289
5,diversidade-Noise-L2,0.8913760061326177,0.04096579551696777
6,diversidade-Noise-L2,0.8895197176615004,0.04100489616394043
7,diversidade-Noise-L2,0.8912028175484269,0.04426431655883789
8,diversidade-Noise-L2,0.8915477834023625,0.04401874542236328
9,diversidade-Noise-L2,0.8905625576391022,0.05605792999267578
10,diversidade-Noise-L2,0.8937409024745268,0.040598154067993164
11,diversidade-Noise-L2,0.894926149843116,0.04143381118774414
12,diversidade-Noise-L2,0.8888888888888892,0.04391217231750488
13,diversidade-Noise-L2,0.8926683521029646,0.044376373291015625
14,diversidade-Noise-L2,0.8905602455871068,0.040927886962890625
15,diversidade-Noise-L2,0.8918027758607466,0.04094529151916504
16,diversidade-Noise-L2,0.891169487631156,0.04004693031311035
17,diversidade-Noise-L2,0.8915718240541374,0.041371822357177734
18,diversidade-Noise-L2,0.8953532879124245,0.03998231887817383
19,diversidade-Noise-L2,0.8929339477726578,0.041593074798583984
20,diversidade-Noise-L2,0.5931128670373623,0.04098796844482422
21,diversidade-Noise-L2,0.8903047516696089,0.04335141181945801
22,diversidade-Noise-L2,0.8914592110302562,0.04133272171020508
23,diversidade-Noise-L2,0.5963106796116506,0.041222333908081055
24,diversidade-Noise-L2,0.8914574402939374,0.03993391990661621
25,diversidade-Noise-L2,0.8908337171810227,0.043646812438964844
26,diversidade-Noise-L2,0.8922793835773978,0.0403597354888916
27,diversidade-Noise-L2,0.893241167434716,0.04014444351196289
28,diversidade-Noise-L2,0.5968728755948335,0.04127001762390137
29,diversidade-Noise-L2,0.892321881484897,0.0413661003112793
30,diversidade-Noise-L2,0.8910845588235291,0.044280290603637695
