Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,isolation-Bias-L2,0.9196768378179878,0.0816488265991211
2,isolation-Bias-L2,0.9189117097892775,0.07379651069641113
3,isolation-Bias-L2,0.9195417610230447,0.07991814613342285
4,isolation-Bias-L2,0.9178910976663789,0.07327890396118164
5,isolation-Bias-L2,0.9207748830995327,0.07630658149719238
6,isolation-Bias-L2,0.9195969840528462,0.07658147811889648
7,isolation-Bias-L2,0.9199359487590074,0.07510042190551758
8,isolation-Bias-L2,0.9190593564719208,0.07526254653930664
9,isolation-Bias-L2,0.9203764266168322,0.07401800155639648
10,isolation-Bias-L2,0.9204461959788932,0.07715129852294922
11,isolation-Bias-L2,0.9199145755472506,0.0741119384765625
12,isolation-Bias-L2,0.9200667779632724,0.08038783073425293
13,isolation-Bias-L2,0.9192215409224205,0.07989954948425293
14,isolation-Bias-L2,0.9198452920778876,0.07807803153991699
15,isolation-Bias-L2,0.9199759727691387,0.07414078712463379
16,isolation-Bias-L2,0.9220796578454956,0.07749152183532715
17,isolation-Bias-L2,0.9200373781871583,0.07385134696960449
18,isolation-Bias-L2,0.9218843969261612,0.07692289352416992
19,isolation-Bias-L2,0.920825816796953,0.07580113410949707
20,isolation-Bias-L2,0.9196905016008539,0.07415509223937988
21,isolation-Bias-L2,0.9180721285247647,0.07542133331298828
22,isolation-Bias-L2,0.9219564345850594,0.07387518882751465
23,isolation-Bias-L2,0.9181812129685109,0.07679009437561035
24,isolation-Bias-L2,0.9187387507499504,0.07462573051452637
25,isolation-Bias-L2,0.9218123496391343,0.0765988826751709
26,isolation-Bias-L2,0.9197946529768651,0.0736539363861084
27,isolation-Bias-L2,0.9206624816348336,0.08085751533508301
28,isolation-Bias-L2,0.9191784475860233,0.07370162010192871
29,isolation-Bias-L2,0.9191784475860233,0.0782010555267334
30,isolation-Bias-L2,0.9198582982420956,0.07372379302978516
