Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,isolation-Drift-L1,0.9999357037227541,0.09049582481384277
2,isolation-Drift-L1,0.9999357037227541,0.09377169609069824
3,isolation-Drift-L1,0.9999357037227541,0.0920858383178711
4,isolation-Drift-L1,1.0,0.0963435173034668
5,isolation-Drift-L1,0.9998714157130002,0.09119558334350586
6,isolation-Drift-L1,0.9998071359691418,0.08367443084716797
7,isolation-Drift-L1,0.9999357037227541,0.0988762378692627
8,isolation-Drift-L1,0.9999357037227541,0.08274626731872559
9,isolation-Drift-L1,0.9998714157130002,0.08212614059448242
10,isolation-Drift-L1,1.0,0.08919024467468262
11,isolation-Drift-L1,1.0,0.0882110595703125
12,isolation-Drift-L1,0.9999357037227541,0.09717059135437012
13,isolation-Drift-L1,1.0,0.0863959789276123
14,isolation-Drift-L1,0.9999357037227541,0.0880880355834961
15,isolation-Drift-L1,0.9999357037227541,0.08720660209655762
16,isolation-Drift-L1,0.9999357037227541,0.08165454864501953
17,isolation-Drift-L1,1.0,0.08027815818786621
18,isolation-Drift-L1,0.9998071359691418,0.08351922035217285
19,isolation-Drift-L1,1.0,0.08133673667907715
20,isolation-Drift-L1,0.9999357037227541,0.08541464805603027
21,isolation-Drift-L1,1.0,0.08483624458312988
22,isolation-Drift-L1,1.0,0.08968544006347656
23,isolation-Drift-L1,0.9998071359691418,0.09200930595397949
24,isolation-Drift-L1,0.9998714157130002,0.09224224090576172
25,isolation-Drift-L1,0.9998714157130002,0.08520340919494629
26,isolation-Drift-L1,1.0,0.08645868301391602
27,isolation-Drift-L1,0.9999357037227541,0.09148478507995605
28,isolation-Drift-L1,1.0,0.08688688278198242
29,isolation-Drift-L1,1.0,0.0886685848236084
30,isolation-Drift-L1,0.9999357037227541,0.09251809120178223
