Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,svm-Bias-L2,0.8376436781609194,0.35942602157592773
2,svm-Bias-L2,0.805916505391208,0.3606300354003906
3,svm-Bias-L2,0.8174883458115552,0.3667147159576416
4,svm-Bias-L2,0.9025889121338916,0.3458728790283203
5,svm-Bias-L2,0.8194405199208816,0.38164401054382324
6,svm-Bias-L2,0.7235666844797314,0.34549760818481445
7,svm-Bias-L2,0.8323716099249855,0.3797740936279297
8,svm-Bias-L2,0.8198521647307289,0.3808119297027588
9,svm-Bias-L2,0.7217470983506414,0.35332250595092773
10,svm-Bias-L2,0.816026049408933,0.34366512298583984
11,svm-Bias-L2,0.7061114439784303,0.3533468246459961
12,svm-Bias-L2,0.7107030900134352,0.37869906425476074
13,svm-Bias-L2,0.9192215409224205,0.3845481872558594
14,svm-Bias-L2,0.7197311129783822,0.39118409156799316
15,svm-Bias-L2,0.9199759727691387,0.35642480850219727
16,svm-Bias-L2,0.9220796578454956,0.37237024307250977
17,svm-Bias-L2,0.8346297896859695,0.36358094215393066
18,svm-Bias-L2,0.709985809246396,0.3598654270172119
19,svm-Bias-L2,0.8343797358735654,0.37702083587646484
20,svm-Bias-L2,0.8344008636200075,0.37093138694763184
21,svm-Bias-L2,0.9180721285247647,0.369739294052124
22,svm-Bias-L2,0.8032730046460022,0.37462592124938965
23,svm-Bias-L2,0.8011935327180629,0.3399815559387207
24,svm-Bias-L2,0.816929272945665,0.3644728660583496
25,svm-Bias-L2,0.9038726164733633,0.3470473289489746
26,svm-Bias-L2,0.8075117370892019,0.36783766746520996
27,svm-Bias-L2,0.8062487039469134,0.35260510444641113
28,svm-Bias-L2,0.7212338703519893,0.40241026878356934
29,svm-Bias-L2,0.9191784475860233,0.36241579055786133
30,svm-Bias-L2,0.7041344638703386,0.36633920669555664
