Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,svm-Drift-L2,0.934812009737625,0.7177886962890625
2,svm-Drift-L2,0.8468272918023296,0.7081160545349121
3,svm-Drift-L2,0.9343075569988496,0.7283728122711182
4,svm-Drift-L2,0.9629009762900974,0.714331865310669
5,svm-Drift-L2,0.9284655799541962,0.6881861686706543
6,svm-Drift-L2,0.9439726027397257,0.7237679958343506
7,svm-Drift-L2,0.9345895750016949,0.7712991237640381
8,svm-Drift-L2,0.9279043203655174,0.7575829029083252
9,svm-Drift-L2,0.9544354559911504,0.7962315082550049
10,svm-Drift-L2,0.9285858517870369,0.7587192058563232
11,svm-Drift-L2,0.8397774083977741,0.813361644744873
12,svm-Drift-L2,0.9538908889504291,0.755457878112793
13,svm-Drift-L2,0.9463307776560792,0.7256143093109131
14,svm-Drift-L2,0.8625472887767972,0.7599363327026367
15,svm-Drift-L2,0.9412405528698851,0.7358593940734863
16,svm-Drift-L2,0.4299795061969354,0.7513539791107178
17,svm-Drift-L2,0.8426174740358777,0.7656025886535645
18,svm-Drift-L2,0.9476931514362104,0.7586917877197266
19,svm-Drift-L2,0.8478404341130745,0.7514181137084961
20,svm-Drift-L2,0.8494725354674428,0.7473089694976807
21,svm-Drift-L2,0.936170212765957,0.723135232925415
22,svm-Drift-L2,0.9439693507559692,0.7791392803192139
23,svm-Drift-L2,0.9373855233701923,0.7664647102355957
24,svm-Drift-L2,0.937007874015748,0.7476861476898193
25,svm-Drift-L2,0.9391304347826086,0.7355406284332275
26,svm-Drift-L2,0.9337658826709917,0.7653155326843262
27,svm-Drift-L2,0.865148602691113,0.7649190425872803
28,svm-Drift-L2,0.933369410809714,0.731652021408081
29,svm-Drift-L2,0.8783915090813962,0.7743444442749023
30,svm-Drift-L2,0.8573116691285082,0.7704644203186035
