Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,svm-Freezing-L2,0.6652247798547817,0.3373723030090332
2,svm-Freezing-L2,0.6653278751834402,0.3538334369659424
3,svm-Freezing-L2,0.6659461128696054,0.35218214988708496
4,svm-Freezing-L2,0.66615206483983,0.3427715301513672
5,svm-Freezing-L2,0.6649153982847872,0.33363819122314453
6,svm-Freezing-L2,0.665018541409147,0.35138583183288574
7,svm-Freezing-L2,0.6652247798547817,0.3428475856781006
8,svm-Freezing-L2,0.6657400972897846,0.33866071701049805
9,svm-Freezing-L2,0.6655340180708934,0.3335542678833008
10,svm-Freezing-L2,0.6654309545875811,0.32377147674560547
11,svm-Freezing-L2,0.6653278751834402,0.33845043182373047
12,svm-Freezing-L2,0.5900783289817235,0.3641846179962158
13,svm-Freezing-L2,0.6656370656370657,0.3643338680267334
14,svm-Freezing-L2,0.6654309545875811,0.3542017936706543
15,svm-Freezing-L2,0.6655340180708934,0.3870365619659424
16,svm-Freezing-L2,0.6657400972897846,0.34473323822021484
17,svm-Freezing-L2,0.665843113032736,0.35484814643859863
18,svm-Freezing-L2,0.6654309545875811,0.3299248218536377
19,svm-Freezing-L2,0.6653278751834402,0.34122371673583984
20,svm-Freezing-L2,0.6654309545875811,0.3317990303039551
21,svm-Freezing-L2,0.6653278751834402,0.3764040470123291
22,svm-Freezing-L2,0.6653278751834402,0.35418200492858887
23,svm-Freezing-L2,0.665843113032736,0.32687854766845703
24,svm-Freezing-L2,0.6655340180708934,0.349714994430542
25,svm-Freezing-L2,0.6656370656370657,0.34774041175842285
26,svm-Freezing-L2,0.6659461128696054,0.3420140743255615
27,svm-Freezing-L2,0.6654309545875811,0.3411288261413574
28,svm-Freezing-L2,0.6652247798547817,0.344193696975708
29,svm-Freezing-L2,0.6656370656370657,0.3335583209991455
30,svm-Freezing-L2,0.6653278751834402,0.34215760231018066
