Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,svm-LossAccuracy-L1,0.9489496824621395,0.3089768886566162
2,svm-LossAccuracy-L1,0.948821302064248,0.33356237411499023
3,svm-LossAccuracy-L1,0.9481915933528832,0.3130791187286377
4,svm-LossAccuracy-L1,0.9617696263709025,0.3591752052307129
5,svm-LossAccuracy-L1,0.9609360490311398,0.47763538360595703
6,svm-LossAccuracy-L1,0.9486803519061587,0.33995556831359863
7,svm-LossAccuracy-L1,0.948422144906305,0.3370215892791748
8,svm-LossAccuracy-L1,0.9610293207967334,0.32668256759643555
9,svm-LossAccuracy-L1,0.9486537639660536,0.3254382610321045
10,svm-LossAccuracy-L1,0.9479655950710675,0.3336317539215088
11,svm-LossAccuracy-L1,0.9483516483516483,0.3265516757965088
12,svm-LossAccuracy-L1,0.9484422724496028,0.3319742679595947
13,svm-LossAccuracy-L1,0.9622057001239154,0.35210347175598145
14,svm-LossAccuracy-L1,0.9488542621448209,0.3154928684234619
15,svm-LossAccuracy-L1,0.9485770123366314,0.3147463798522949
16,svm-LossAccuracy-L1,0.9482232262791547,0.31053805351257324
17,svm-LossAccuracy-L1,0.9483654139932782,0.31473207473754883
18,svm-LossAccuracy-L1,0.9488730071467838,0.3149595260620117
19,svm-LossAccuracy-L1,0.949382565105758,0.31395792961120605
20,svm-LossAccuracy-L1,0.9491173416407062,0.31316232681274414
21,svm-LossAccuracy-L1,0.960074165636588,0.3271758556365967
22,svm-LossAccuracy-L1,0.9489247311827959,0.31209254264831543
23,svm-LossAccuracy-L1,0.9480114851243204,0.31127262115478516
24,svm-LossAccuracy-L1,0.9488792524277778,0.3046228885650635
25,svm-LossAccuracy-L1,0.9616051523408474,0.3294553756713867
26,svm-LossAccuracy-L1,0.9623939037234375,0.3305034637451172
27,svm-LossAccuracy-L1,0.9487054225696139,0.3158903121948242
28,svm-LossAccuracy-L1,0.9486412213740459,0.3159635066986084
29,svm-LossAccuracy-L1,0.9487900268882914,0.3103220462799072
30,svm-LossAccuracy-L1,0.9487508398998229,0.32283711433410645
