Dado,Label,Predição,Avaliação
22.0,correto,P-incorreto,FP
21.998147290412227,correto,P-incorreto,FP
21.99629458082445,correto,P-incorreto,FP
21.994441871236685,correto,P-incorreto,FP
21.99258916164891,correto,P-incorreto,FP
21.99073645206114,correto,P-incorreto,FP
21.98888374247337,correto,P-incorreto,FP
21.9870310328856,correto,P-incorreto,FP
21.985178323297824,correto,P-incorreto,FP
21.48332561371005,incorreto,P-correto,FN
21.98147290412228,correto,P-incorreto,FP
21.979620194534508,correto,P-incorreto,FP
21.97776748494673,correto,P-incorreto,FP
21.97591477535896,correto,P-incorreto,FP
21.47406206577119,incorreto,P-correto,FN
22.47220935618342,incorreto,P-correto,FN
22.470356646595647,incorreto,P-correto,FN
21.468503937007878,incorreto,P-correto,FN
21.9666512274201,correto,P-incorreto,FP
21.964798517832328,correto,P-incorreto,FP
21.96294580824456,correto,P-incorreto,FP
21.961093098656782,correto,P-incorreto,FP
21.959240389069013,correto,P-incorreto,FP
21.95738767948124,correto,P-incorreto,FP
22.45553496989347,incorreto,P-correto,FN
21.453682260305698,incorreto,P-correto,FN
21.951829550717925,correto,P-incorreto,FP
21.94997684113015,correto,P-incorreto,FP
21.948124131542382,correto,P-incorreto,FP
22.44627142195461,incorreto,P-correto,FN
22.44441871236684,incorreto,P-correto,FN
21.942566002779063,correto,P-incorreto,FP
21.94071329319129,correto,P-incorreto,FP
21.93886058360352,correto,P-incorreto,FP
21.937007874015748,correto,P-incorreto,FP
21.43515516442797,incorreto,P-correto,FN
21.9333024548402,correto,P-incorreto,FP
22.431449745252436,incorreto,P-correto,FN
22.42959703566466,incorreto,P-correto,FN
21.427744326076887,incorreto,P-correto,FN
22.425891616489118,incorreto,P-correto,FN
21.924038906901345,correto,P-incorreto,FP
21.92218619731357,correto,P-incorreto,FP
21.9203334877258,correto,P-incorreto,FP
21.418480778138026,incorreto,P-correto,FN
21.916628068550256,correto,P-incorreto,FP
21.914775358962483,correto,P-incorreto,FP
21.41292264937471,incorreto,P-correto,FN
22.411069939786938,incorreto,P-incorreto,VN
21.409217230199165,incorreto,P-correto,FN
21.907364520611395,correto,P-correto,VP
21.405511811023626,incorreto,P-correto,FN
21.90365910143585,correto,P-correto,VP
21.90180639184808,correto,P-correto,VP
21.399953682260307,incorreto,P-correto,FN
21.89810097267253,correto,P-correto,VP
21.89624826308476,correto,P-correto,VP
21.894395553496988,correto,P-correto,VP
21.89254284390922,correto,P-correto,VP
21.39069013432145,incorreto,P-correto,FN
21.388837424733676,incorreto,P-correto,FN
21.8869847151459,correto,P-correto,VP
21.38513200555813,incorreto,P-correto,FN
22.38327929597036,incorreto,P-incorreto,VN
21.881426586382585,correto,P-correto,VP
21.87957387679481,correto,P-correto,VP
21.37772116720704,incorreto,P-correto,FN
21.87586845761927,correto,P-correto,VP
21.874015748031496,correto,P-correto,VP
21.872163038443723,correto,P-correto,VP
21.87031032885595,correto,P-correto,VP
22.36845761926818,incorreto,P-incorreto,VN
21.366604909680408,incorreto,P-correto,FN
21.864752200092635,correto,P-correto,VP
21.862899490504866,correto,P-correto,VP
21.861046780917093,correto,P-correto,VP
21.85919407132932,correto,P-correto,VP
21.857341361741547,correto,P-correto,VP
21.85548865215377,correto,P-correto,VP
21.853635942566005,correto,P-correto,VP
21.35178323297823,incorreto,P-correto,FN
21.84993052339046,correto,P-correto,VP
21.84807781380269,correto,P-correto,VP
22.346225104214916,incorreto,P-incorreto,VN
21.844372394627143,correto,P-correto,VP
21.84251968503937,correto,P-correto,VP
22.3406669754516,incorreto,P-incorreto,VN
21.838814265863824,correto,P-correto,VP
22.33696155627605,incorreto,P-incorreto,VN
22.33510884668828,incorreto,P-incorreto,VN
21.83325613710051,correto,P-correto,VP
21.831403427512736,correto,P-correto,VP
21.829550717924967,correto,P-correto,VP
21.827698008337197,correto,P-correto,VP
21.82584529874942,correto,P-correto,VP
21.323992589161648,incorreto,P-correto,FN
21.322139879573875,incorreto,P-correto,FN
21.820287169986106,correto,P-correto,VP
21.818434460398333,correto,P-correto,VP
21.31658175081056,incorreto,P-correto,FN
22.314729041222787,incorreto,P-incorreto,VN
21.312876331635017,incorreto,P-correto,FN
21.811023622047244,correto,P-correto,VP
21.80917091245947,correto,P-correto,VP
21.8073182028717,correto,P-correto,VP
21.80546549328393,correto,P-correto,VP
21.80361278369616,correto,P-correto,VP
22.301760074108383,incorreto,P-incorreto,VN
21.79990736452061,correto,P-correto,VP
21.79805465493284,correto,P-correto,VP
21.796201945345068,correto,P-correto,VP
