Dado,Label,Predição,Avaliação
22.0,correto,P-incorreto,FP
15.430013974352136,incorreto,P-correto,FN
21.99629458082445,correto,P-incorreto,FP
21.994441871236685,correto,P-incorreto,FP
35.47319297223484,incorreto,P-incorreto,VN
37.16303347723118,incorreto,P-correto,FN
21.98888374247337,correto,P-incorreto,FP
21.9870310328856,correto,P-incorreto,FP
21.985178323297824,correto,P-incorreto,FP
21.98332561371005,correto,P-incorreto,FP
21.98147290412228,correto,P-incorreto,FP
21.979620194534508,correto,P-incorreto,FP
21.97776748494673,correto,P-incorreto,FP
40.97120447586434,incorreto,P-incorreto,VN
15.665010566853432,incorreto,P-incorreto,VN
21.97220935618342,correto,P-incorreto,FP
25.68285522381225,incorreto,P-correto,FN
21.968503937007878,correto,P-incorreto,FP
21.9666512274201,correto,P-incorreto,FP
21.964798517832328,correto,P-incorreto,FP
20.372368202912917,incorreto,P-correto,FN
21.961093098656782,correto,P-incorreto,FP
24.351693573440134,incorreto,P-incorreto,VN
21.95738767948124,correto,P-incorreto,FP
21.95553496989347,correto,P-incorreto,FP
21.953682260305698,correto,P-incorreto,FP
21.951829550717925,correto,P-incorreto,FP
21.94997684113015,correto,P-incorreto,FP
21.948124131542382,correto,P-incorreto,FP
21.94627142195461,correto,P-incorreto,FP
21.94441871236684,correto,P-incorreto,FP
21.942566002779063,correto,P-incorreto,FP
13.55139329177834,incorreto,P-incorreto,VN
21.93886058360352,correto,P-incorreto,FP
21.937007874015748,correto,P-incorreto,FP
21.93515516442797,correto,P-incorreto,FP
21.9333024548402,correto,P-incorreto,FP
21.931449745252436,correto,P-incorreto,FP
21.92959703566466,correto,P-incorreto,FP
21.927744326076887,correto,P-incorreto,FP
21.925891616489118,correto,P-incorreto,FP
21.924038906901345,correto,P-incorreto,FP
21.92218619731357,correto,P-incorreto,FP
21.9203334877258,correto,P-incorreto,FP
21.918480778138026,correto,P-incorreto,FP
21.916628068550256,correto,P-incorreto,FP
21.914775358962483,correto,P-incorreto,FP
21.91292264937471,correto,P-incorreto,FP
21.911069939786938,correto,P-incorreto,FP
21.909217230199165,correto,P-incorreto,FP
13.231362556333323,incorreto,P-incorreto,VN
21.905511811023626,correto,P-incorreto,FP
21.90365910143585,correto,P-incorreto,FP
21.90180639184808,correto,P-incorreto,FP
21.899953682260307,correto,P-incorreto,FP
21.89810097267253,correto,P-incorreto,FP
27.145105601646623,incorreto,P-correto,FN
21.894395553496988,correto,P-incorreto,FP
21.89254284390922,correto,P-incorreto,FP
21.89069013432145,correto,P-incorreto,FP
34.91478920642879,incorreto,P-correto,FN
18.15642183817597,incorreto,P-correto,FN
21.88513200555813,correto,P-incorreto,FP
21.88327929597036,correto,P-incorreto,FP
21.881426586382585,correto,P-incorreto,FP
21.87957387679481,correto,P-incorreto,FP
21.87772116720704,correto,P-incorreto,FP
21.87586845761927,correto,P-incorreto,FP
21.874015748031496,correto,P-incorreto,FP
