Dado,Label,Predição,Avaliação,Label_Cod,Predicao_Cod,Precisao,Recall,F-Measure
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
3,incorreto,P-incorreto,VN,0,0,1.0,1.0,1.0
301,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
301,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
299,correto,P-correto,VP,1,1,1.0,1.0,1.0
200,incorreto,P-incorreto,VN,0,0,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
301,correto,P-correto,VP,1,1,1.0,1.0,1.0
301,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
300,correto,P-correto,VP,1,1,1.0,1.0,1.0
299,correto,P-correto,VP,1,1,1.0,1.0,1.0
